Phrase,Neighbours
approximate inference methods make,"several inference problems, statistical inference, perform inference, variational inference, type inference, inductive inference, efficient methods known, probabilistic methods, use approximate solutions, methods may"
approximate optimal solutions,"optimal solutions, optimal solution, use approximate solutions, asymptotically optimal solutions would, find approximate solutions, optimal one, feasible solutions, optimal values formed, automatic solutions, optimal action"
approximate real numbers  characters,"real numbers, real number, nonnegative real numbers, integer numbers, natural numbers starting, simple rational numbers, denormal numbers, point numbers, graphical characters, represent rational numbers like 1"
approximated locally,"approximated using, locally equivalent, locally optimal choice, kolmogorov complexity terms approximated"
approximated using,"approximated locally, solved using, kolmogorov complexity terms approximated, done using, using operations, defined using, using formal methods, sometimes using, using statistical methods, remembered using"
approximately 98 db,"98 standard test methods, approximately solving nonlinear optimization problems"
approximately solving nonlinear optimization problems,"nonlinear optimization, solving optimization problems, mathematical optimization problems involving, solving optimization problems suggested, optimization problems, optimization problem, optimization problems dealing, mathematical optimization problem including constraints, numerical optimization, optimization techniques"
approximation algorithm,"approximation algorithms, also many approximation algorithms, approximation algorithms naturally arise, approximation theory, better approximation, use numerical approximation, universal approximation theorem, deterministic approximation, optimization algorithm, algorithm used"
approximation algorithms,"approximation algorithm, approximation algorithms crucially involves, also many approximation algorithms, approximation algorithms naturally arise, approximation theory, better approximation, possible algorithms, use numerical approximation, deterministic approximation, efficient algorithms"
approximation algorithms crucially involves,"approximation algorithms, also many approximation algorithms, approximation algorithms naturally arise, approximation theory, better approximation, deterministic approximation, possible algorithms, specific algorithms, algorithms like, approximation practice  siam 2013"
approximation algorithms naturally arise,"approximation algorithms crucially involves, approximation algorithms, approximation algorithm, also many approximation algorithms, approximation theory, better approximation, deterministic approximation, universal approximation theorem, possible algorithms, use numerical approximation"
approximation practice  siam 2013,"approximation theory, better approximation, approximation algorithm, approximation algorithms crucially involves, use numerical approximation, approximation algorithms naturally arise, approximation algorithms, also many approximation algorithms, universal approximation theorem, deterministic approximation"
approximation theory,"better approximation, approximation algorithm, approximation algorithms, universal approximation theorem, approximation algorithms crucially involves, also many approximation algorithms, use numerical approximation, approximation algorithms naturally arise, deterministic approximation, approximation practice  siam 2013"
apu  formerly known,"ac  also known, originally known, also known, commonly known, media player known, sometimes known, sometimes also known, fairly well known, slp  also known, important application known"
arbitrary data structures,"data structures, abstract data structures, evaluate data structures, data structure, structured data sets, structured data, abstract data structures receive, compressed data structures include, commonly used nontrivial data structures, data abstraction"
arbitrary item insertions,"min item allocation, arbitrary text, arbitrary data structures, one data item, run arbitrary programs"
arbitrary text,"given text, text analysis, enough text, text processing, arbitrary data structures, arbitrary item insertions, extensible text framework, natural language text, program text, text mining"
arc set,"minimum feedback arc set, possible set, given set, data set, several set operations, extended set, set number, rule set, set topology, limited set"
architectures existed,"specific architectures, computer architectures, cognitive architectures, successful cognitive architectures include act, early mips architectures, earlier cisc architectures"
archival histories,
area distinct,"specialized area, two distinct, relatively new area, another area within affective computing, calculate solvent accessible surface area, legal concept distinct, solvent accessible surface area, technology mining area illustrates, distinct design philosophy"
areas draws ideas,"core ideas, abstract ideas, user experience design draws, independent areas, areas reflected, virtual intelligence draws"
areas reflected,"reflected automatically, independent areas, areas draws ideas"
argonne national laboratory,"national institute, modified national institute, jet propulsion laboratory, national centers, based education research laboratory, national security agency since"
argument technology,"argument technology faced, first argument, information technology methods, second argument, information technology, technology information, technology perspective, using affective computing technology, underlying technology, technology intelligence branches"
argument technology faced,"argument technology, technology perspective, underlying technology, using affective computing technology, technology information, information technology, information technology methods, first argument, modern technology, second argument"
arguments belonging,"functional arguments, companies belonging"
ariane 5 rocket,c4 model uses 5 basic diagramming elements
arm cortex,freedom per arm
armed bandit framework,"abstract framework, computational framework, runtime framework, sixth framework programme, mathematical framework, susa framework implements bcjr algorithm, extensible text framework, data representation framework created"
armoured combat vehicles,
arnoldi iteration,"jacobi iteration method, final quotient per iteration, iteration replacing"
arranged listing,
array list,"dynamic array, accessing array elements, array whose size, simple dynamic array, mutable array, list elements, dynamically allocated array, underlying array, simpler array indexing operation, array model used"
array model used,"data model, dynamic array may use, simple dynamic array, dynamic array, database model, array list, specific model, structured model, multidimensional model commonly used, term data model"
array whose size,"size array, growable array, array list, bit array, variable size, resizable array, dimensional array would, underlying array, array model used, dynamically allocated array"
arrive continuously,
art work,"original work, describes design work, perform work, recent work, work together, work proposes, early work, also early work, spurred work, previous work"
article deals,"article published, 1987 ai magazine article, modern robust optimization deals primarily"
article published,"research paper published, article deals, often published, 1987 ai magazine article, standard published, first published, proposed internet standard published, published nothing, published algorithms"
artificial bee colony algorithm,"bee colonies, honey bee swarm, baumwelch algorithm, algorithm used, algorithm using, distributed artificial intelligence, optimization algorithm based, karatsuba algorithm, optimization algorithm, algorithm design technique"
artificial consciousness,"artificial consciousness concepts, synthetic consciousness, machine consciousness, symbolic artificial intelligence, artificial intelligence, artificial intelligence concerned, traditional artificial intelligence, artificial systems, artificial intelligent agents, use artificial intelligence"
artificial consciousness concepts,"artificial consciousness, synthetic consciousness, machine consciousness, symbolic artificial intelligence, artificial systems, artificial intelligence concerned, traditional artificial intelligence, artificial intelligence, use artificial intelligence, artificial intelligent agents"
artificial intelligence,"use artificial intelligence, artificial intelligence laboratory, artificial intelligence concerned, traditional artificial intelligence, symbolic artificial intelligence, artificial intelligence research dedicated, distributed artificial intelligence, subsymbolic artificial intelligence, artificial intelligent agents, also called decentralized artificial intelligence"
artificial intelligence concerned,"artificial intelligence, use artificial intelligence, artificial intelligence research dedicated, artificial intelligence laboratory, traditional artificial intelligence, symbolic artificial intelligence, distributed artificial intelligence, intelligence analysis, 1975 distributed artificial intelligence emerged, subsymbolic artificial intelligence"
artificial intelligence laboratory,"artificial intelligence, use artificial intelligence, artificial intelligence research dedicated, artificial intelligence concerned, traditional artificial intelligence, symbolic artificial intelligence, distributed artificial intelligence, distributed artificial intelligence systems, artificial intelligent agents, subsymbolic artificial intelligence"
artificial intelligence research dedicated,"artificial intelligence, use artificial intelligence, artificial intelligence laboratory, artificial intelligence concerned, traditional artificial intelligence, distributed artificial intelligence, symbolic artificial intelligence, 1975 distributed artificial intelligence emerged, distributed artificial intelligence systems, also called decentralized artificial intelligence"
artificial intelligent agents,"intelligent agents, intelligent agent, intelligent agent paradigm, artificial intelligence, use artificial intelligence, symbolic artificial intelligence, artificial intelligence laboratory, traditional artificial intelligence, artificial intelligence concerned, distributed artificial intelligence"
artificial neural network,"artificial neural network used, artificial neural networks, practical artificial neural networks, using artificial neural networks requires, neural network, numeric artificial neural networks, neural networks, physical neural network, physical neural networks, computational neural network models"
artificial neural network used,"artificial neural network, artificial neural networks, practical artificial neural networks, using artificial neural networks requires, neural network, numeric artificial neural networks, neural networks, physical neural network, neural network toolbox, physical neural networks"
artificial neural networks,"artificial neural network, practical artificial neural networks, artificial neural network used, using artificial neural networks requires, numeric artificial neural networks, neural networks, neural network, physical neural networks, computational neural network models, physical neural network"
artificial neurons,"simulated neurons, artificial neural networks, artificial neural network, artificial neural network used, using artificial neural networks requires, practical artificial neural networks, artificial neurons stochastic transfer functions, artificial systems, artificial consciousness, numeric artificial neural networks"
artificial neurons stochastic transfer functions,"artificial neurons, specific transfer function, stochastic diffusion search, stochastic process, stochastic gradient descent, stochastic model used, whether neurons use rate coding, simulated neurons, stochastic control, stochastic optimization"
artificial systems,"based systems, systems used, adaptive systems, distributed artificial intelligence systems, artificial intelligent agents, systems theory, systems engineering, two systems, systems design, computational systems"
artistic purposes,
ary versions,"two different versions, bit versions, protocol versions 2"
asimovs three laws,"three categories, three key terms, three parts, following three, three different categories, three factors, build three types, three objectives, three unique points, three matrices"
aspect based sentiment analysis,"sentiment analysis, sentiment analysis like, neutral  multilingual sentiment analysis, grading sentiment analysis, one application aspect, based approaches, different aspect, provide information based, largely based, based conclusions"
aspect focus,"typically focus, central focus, different aspect, like aspect, focus group, focus groups, one application aspect, focus groups constitute, aspect levelwhether, computer science field focus"
aspect levelwhether,"aspect focus, like aspect, different aspect, one application aspect, aspect based sentiment analysis"
asr  computer speech recognition,"speech recognition, automatic speech recognition, speech recognition systems require, character recognition, handwriting recognition, object recognition technology, gesture recognition, computer language, computer learning, optical character recognition"
assembling sequences,"input sequences, expressing permitted sequences, finite sequences, although sequences, polynomial sequences, bit sequences, model sequences, protein sequences"
assembly language programmers,"programming language, hand written assembly code, programming language concepts, programming language theory, computer language, programming language semantics, scientific programming language, logic programming language, common language infrastructure, implementation language"
assessing current,"current value, current capabilities, variable electric current, current allocation, current location estimates, current growth, current clarity data provided, current databases, current ceo"
assign importance,assign labels
assign labels,"multiple labels may, general structured output labels, assign importance"
assigned exactly,"simply assigned, represented exactly, presently assigned value, internet assigned numbers authority"
assigning local automatic variables,"assigning numbers, automatic programming, independent variables, linearly independent variables, local approach, calculate without writing variables, quantified variables, latent variables organized layer, logical variables, explanatory variables"
assigning numbers,"add two numbers, integer numbers, assigning local automatic variables, internet assigned numbers authority, point numbers, simple rational numbers, real numbers, represent rational numbers like 1, natural numbers starting, approximate real numbers  characters"
assisted research,"research program, closely intertwined research literature, research facilities, research project sponsored, research problem, research group, support digital research, typical research, user research, research paper"
associated data,"particular data, provide data, another data, represents data, given data, commonly occurring data items, data analysis, data types related, usable data, data items"
associated phenomenon,"closely associated, associated data, associated view, logically associated, value associated, minimize associated losses"
associated view,"view either, associated data, associated phenomenon, closely associated, value associated, logically associated, minimize associated losses"
association rule learning,"uses association rules, hopfield learning rule, object recognition favors supervised learning, rule-based machine learning, similarity learning, ensemble learning method, learning theory, learning method, related supervised learning methods, supervised learning model"
associative arrays,"associative classifier, dynamic prefetched arrays, dynamic arrays overcome, static arrays, use named temporary arrays"
associative classifier,"associative arrays, classifier chain, subobject classifier, svm classifier supports binary classification, margin classifier"
assuming elements,"allows elements, two elements, puts elements, includes elements, several elements, organizes elements, elements immediately required, data elements, list elements, even mechanical elements"
assumption rejected,"background assumption, smoothness assumption, markov assumption, smoothness assumption additionally yields"
astos aerospace trajectory optimization software,"optimization software, program optimization, process optimization software, notable optimization software organized according, optimization techniques, optimization mechanism, optimization technique, wan optimization controllers, optimization methods, optimization algorithm"
asymmetric languages,"abstract family of languages, formal languages, many languages, formal languages studied, two languages, programming languages, free languages, general programming languages, many functional programming languages, different programming languages"
asymptotic analysis,"regression analysis, nonlinear global analysis, functional analysis, linear discriminant analysis, mathematical analysis, bivariate analysis, discriminant function analysis, multivariate analysis, normal discriminant analysis, convergence analysis"
asymptotically efficient multiplication algorithm,"fast multiplication algorithms, matrix multiplication, scalar multiplication, efficient algorithms, polynomial time algorithm, approximation algorithm, creating efficient algorithms, toomcook multiplication, inverse iteration algorithm requires solving, optimization algorithm"
asymptotically minimize,asymptotically optimal solutions would
asymptotically optimal solutions would,"optimal solutions, approximate optimal solutions, optimal solution, optimal one, optimal values formed, optimal action, asymptotically minimize, optimal object, optimal substructure, locally optimal choice"
asynchronous loading,"lazy loading, eager loading, proxyimage avoids multiple loading"
attack using,"dictionary attack, dictionary attack tries, side channel attack, phrase dictionary attack  however, DMA attack, dma attack, using operations, done using, although using, sometimes using"
attacks originally used words found,"dictionary attacks often succeed, internet attacks, site scripting attacks, dma attacks, apparently first used, prevent dma attacks, perform session fixation attacks, occasionally used, security protocol used, used often"
attention mechanisms,"hand without drawing unnecessary attention, two mechanisms, recently attracted attention, received much attention, two analogous mechanisms, protection mechanisms, application delivery mechanisms, typically using language genericity mechanisms"
audio analyzer,"audio analyzers, audio performance, digital audio, digital audio workstation, input audio stream, audio every time, audio normalization exist, audio precision apx555, performance analyzer"
audio analyzers,"audio analyzer, audio performance, digital audio, digital audio workstation, input audio stream, audio every time, audio normalization exist, audio precision apx555"
audio every time,"audio performance, audio normalization exist, digital audio, audio analyzers, audio analyzer, input audio stream, digital audio workstation, voice mail collected every year, every word, every object"
audio normalization exist,"audio every time, audio performance, digital audio, audio analyzer, audio analyzers, digital audio workstation, input audio stream, focused operating systems also exist"
audio performance,"audio every time, digital audio, audio analyzers, audio analyzer, audio normalization exist, digital audio workstation, actual performance, audio precision apx555, input audio stream, improve performance"
audio precision apx555,"digital audio, audio performance, audio analyzers, audio analyzer, digital audio workstation, working precision, gaining high precision"
audit trail records,"generated records, telephone records, counts max records, min records"
augmented reality,"commercial augmented reality experiences, augmented reality alters one, virtual reality, mixed reality user interfaces workshop, mixed reality, whereas virtual reality completely replaces, mediated reality, physiologically mediated reality"
augmented reality alters one,"augmented reality, commercial augmented reality experiences, virtual reality, mixed reality user interfaces workshop, whereas virtual reality completely replaces, mixed reality, one application aspect, mediated reality, simulated one, allows one"
authentication mechanism,"message authentication codesiso, message authentication codes, data origin authentication, underlying mechanism, response mechanism"
authors achieve performance double,"authors use, authors define, authors later, authors consider, allowing authors, improve performance, worse performance, actual performance, compare performance, specified typical performance"
authors consider,"authors use, authors define, authors later, allowing authors, authors achieve performance double"
authors define,"authors use, authors consider, authors later, allowing authors, authors achieve performance double, actually define, leading ai textbooks define, 2 define generic models, digital empathy define digital empathy, longer completely define"
authors later,"authors use, authors consider, authors define, allowing authors, authors achieve performance double, developed later, later used, later expanded, rose later derived, streaming feature later"
authors use,"authors consider, authors define, authors later, allowing authors, authors achieve performance double, people use, also use, widespread use, common use, different use"
automata theory,"automata theory emerged, automata theory differed, finite automata theory, finite automata, systems theory, algorithm theory, dynamical systems theory, combinatorial game theory, mathematical systems theory, algorithmic information theory"
automata theory differed,"automata theory, automata theory emerged, finite automata theory, finite automata, systems theory, theory used, theory formed, basic theory, dynamical systems theory, complexity theory"
automata theory emerged,"automata theory, automata theory differed, finite automata theory, finite automata, theory formed, systems theory, combinatorial game theory, dynamical systems theory, theory used, basic theory"
automata-based programming,"automatic programming, computer programming, functional programming, functional programming community, Object Oriented Programming, object oriented programming, evolutionary programming, computer programming tasks, logic programming, computer programming technique used"
automated personal assistant,"automated personal assistants, automated personal assistant technology, automated personal assistants become, intelligent personal assistant, intelligent automated assistants, automated way, personal information management, fully automated mode, personal computers based, personal computer"
automated personal assistant technology,"automated personal assistant, automated personal assistants, automated personal assistants become, intelligent personal assistant, intelligent automated assistants, automated way, information technology, personal information management, fully automated mode, personal computer"
automated personal assistants,"automated personal assistant, automated personal assistants become, automated personal assistant technology, intelligent automated assistants, intelligent personal assistant, proof assistants, automated way, smart personal agents, personal information management, fully automated mode"
automated personal assistants become,"automated personal assistants, automated personal assistant, intelligent automated assistants, automated personal assistant technology, intelligent personal assistant, proof assistants, automated way, personal information management, fully automated mode, personal computer"
automated space docking,"space mathematical analysis technique, occupy space, space available, address space, free space, virtual address space, problem space, virtual memory address space, phase space formulation, intelligent automated assistants"
automated theorem proving,"theorem proving, proving completeness, software programs involves proving, uniqueness theorem, shannon sampling theorem, proving np, automated way, fully automated mode, intelligent automated assistants, automated personal assistants"
automated way,"fully automated mode, intelligent automated assistants, automated personal assistant, automated personal assistant technology, simple way, automated personal assistants, intuitive way using information, natural way, automated personal assistants become, informal way"
automatic measure,"measure used, measure information contained, measure whose values, certain measure, valued measure, holistic measure, rough measure, automatic solutions, automatic programming, square automatic interaction detection"
automatic memory management,"memory management, memory management within, based memory management system, either manual memory management, memory management unit, conventional dynamic memory allocation libraries, special memory allocation libraries, memory allocation, memory protection, special dynamic memory allocation libraries"
automatic programming,"automata-based programming, computer programming, computer programming technique used, sequential linear programming, linear programming, successive linear programming, programming paradigm, computer programming tasks, functional programming, programming environments"
automatic solutions,"solutions manual, representing solutions, use approximate solutions, investigating solutions, approximate optimal solutions, optimal solutions, feasible solutions, two solutions, find approximate solutions, selecting potentially useful solutions"
automatic speech recognition,"speech recognition, speech recognition systems require, speech detection, asr  computer speech recognition, speech processing, speech activity detection, speech processing applications, speech signals, speech production, speech frames"
automatically adapts,"automatically perform management, automatically transferred, reflected automatically, nearby buttons automatically, automatically identify useful rules"
automatically analyzing time,"time analysis, time algorithm, time systems, time generated, investigated time period, computation time, time averages, time genetic algorithms within, time variables, time compilers"
automatically identify useful rules,"manually construct rules, valid rules, systematically identify, new rules, quickly identify, ann generates inferencing rules e, automatically analyzing time, automatically perform management, decision rules, uses association rules"
automatically keeps,"keeps track, reflected automatically"
automatically perform management,"management literature, based centralized management server, application performance management, automatically adapts, independent management, perform tasks, automatically updated whenever, automatic memory management, programs often perform, automatically identify useful rules"
automatically transferred,"automatically adapts, reflected automatically, automatically perform management, nearby buttons automatically, automatically analyzing time, automatically identify useful rules"
automatically updated whenever,"automatically perform management, reflected automatically, automatically identify useful rules, zero whenever"
automobile adapted,
autonomic computing,"autonomic networking, human-centered computing, computing machinery, advanced computing environment, computing power, scientific computing, implement computing tasks, symposium on theory of computing, bio-inspired computing, computing examples"
autonomic networking,"autonomic computing, active networking, traditional computer networking, unified networking concept, active networking allows, networking paradigms primarily based upon, synchronous optical networking, active networking relates, tolerant networking, delay-tolerant networking"
autonomous operation,"separate operation, autonomous processing nodes, relatively autonomous discipline, easiest operation, main operation performed, fundamental operation, every operation, logical operation performed, underlying network operation, join operation"
autonomous processing nodes,"processing executing, processing points, central processing unit, autonomous operation, existing nodes based, processing unit, processing power, target nodes, accelerated processing unit, semiautomatic data processing systems"
available alternatives,"made available, available processors, available knowledge using logical techniques, data becomes available, internet protocol addresses available, space available, entire input available, much larger lists available"
available knowledge using logical techniques,"using knowledge, may use knowledge, knowledge base, knowledge discovery, knowledge engineering, expressing knowledge, storing knowledge gained, subject knowledge, informatics techniques, formal knowledge representation languages"
available processors,"computer processors, independent processors, first processors using, network processors, single core processors used, single core processors also used, single core processors, using multiple processors, smaller processors, scalar processors"
average case analysis,"worst case analysis, case performance, general case, case complexity, worst case oriented, case lower bound, simplest case, simple case, special case, worst case"
avl trees,"thus trees, search trees, binary trees, spanning trees, path trees, extended binary trees, join trees, decision trees, balanced trees t1, binary trees formed"
avoid circumventing,"help avoid, avoid crawling, avoid data anomalies"
avoid crawling,"help avoid, avoid circumventing, avoid data anomalies"
avoid data anomalies,"categorize unlabeled data, previously unseen data, usable data, unlabeled data, data sets, data type constrains, data set, commonly used nontrivial data structures, associated data, particular data"
avoiding problematic issues,"problematic first, issues led, technical issues"
avoids recomputing,"also avoids repeated evaluations, proxyimage avoids multiple loading"
awe regions could therefore,"identify regions, density regions, bayesian network could represent, systems design could, expensive computations could still, site cooking could"
axiomatic set theory,"theory used, systems theory, theory formed, basis set, rule set, given set, formal theory, control theory, discrete set, algorithm theory"
b must also,"must also, also useful, also use, see also, also includes, positively must know, also related, also written, also come, must hold"
back end,"far back, first dating back, robust optimization date back, radix sort dates back, several quantum hardware back"
backfitting algorithm,"backfitting algorithm explicitly, backfitting algorithm involving projections onto, algorithm used, forward algorithm, matching algorithm, recursive algorithm, recovery algorithm designed, algorithm using, optimal offline algorithm, parallel algorithm"
backfitting algorithm explicitly,"backfitting algorithm, backfitting algorithm involving projections onto, matching algorithm, algorithm used, recovery algorithm designed, forward algorithm, recursive algorithm, algorithm using, parallel algorithm, particular algorithm"
backfitting algorithm involving projections onto,"backfitting algorithm, backfitting algorithm explicitly, forward algorithm, desired output algorithm, algorithm using, particular algorithm, recursive algorithm, algorithm used, different algorithm, parallel algorithm"
background assumption,"assumption rejected, smoothness assumption, markov assumption, smoothness assumption additionally yields"
backpropagation based artificial neural networks,"practical artificial neural networks, fully recurrent neural networks, recurrent neural networks, artificial neural networks, artificial neural network, recurrent neural network, recurrent neural networks introduced, artificial neural network used, neural networks, neural network"
backpropagation through structure,"classical backpropagation rule, underlying structure, protein secondary structure, data structure returns, certain structure, submodular structure, clear structure, untyped tree structure, term compressed data structure arises, structure used depends"
backward euler method,"backward euler method follows, implicit euler method, iterative method proposed, iterative method, theoretic method, alternative method, simplest method, numerical method, markowitz method, jacobi iteration method"
backward euler method follows,"backward euler method, implicit euler method, theoretic method, alternative method, markowitz method, jacobi iteration method, simplest method, numerical method, method first proposed, jacobi method"
bacterial growth,current growth
bad behavior,"good behavior, intolerably bad, collective behavior, bad input, bad code smells, linear behavior, expected theoretical behavior, yield intelligent behavior, achieve polymorphic behavior, encapsulate varying behavior"
bad code smells,"code smells, code smell, bad input, bad behavior, intolerably bad, source code designed, source code, code injection, american standard code, code development"
bad input,"input error, takes input, given input, without input, input becomes small, example input, user input, entire input available, input number, whole input must"
balance scale,"maintain balance, larger scale, scale optimization, rank scale, term rank scale, scale integration circuits, scale integrated circuits, system usability scale"
balanced binary search tree dynamically,"balanced binary search trees, balancing binary search tree, balancing binary search trees, self-balancing binary search tree, based binary search tree, binary search tree, binary search tree algorithm, binary search trees, binary search tree data structures, many binary search trees"
balanced binary search trees,"balancing binary search trees, balancing binary search tree, balanced binary search tree dynamically, binary search trees, based binary search tree, many binary search trees, self-balancing binary search tree, binary search tree, binary search tree algorithm, binary search tree data structures"
balanced tree,"weight-balanced tree, balanced trees t1, tree containing, tree used, rooted tree, spanning tree generation, ordered tree, tree decomposition, untyped tree structure, parallel tree contraction"
balanced trees t1,"balanced tree, thus trees, join trees, binary trees, binary trees formed, gradient boosted trees, path trees, balanced binary search trees, decision trees, avl trees"
balancing binary search tree,"balancing binary search trees, self-balancing binary search tree, balanced binary search trees, balanced binary search tree dynamically, based binary search tree, binary search tree, binary search trees, binary search tree algorithm, many binary search trees, binary search tree data structures"
balancing binary search trees,"balancing binary search tree, balanced binary search trees, self-balancing binary search tree, binary search trees, balanced binary search tree dynamically, based binary search tree, binary search tree, many binary search trees, binary search tree algorithm, binary search tree data structures"
banking application may,"may also include accounting software, commercial application, may execute, address pool may, information may, important application known, closely related application, application program status register, software application, application design"
bar induction,"bar recursion, ordinary mathematical induction"
bar recursion,"structural recursion, bar induction, recursion method bearing, ordinary recursion bears, polymorphic recursion"
bas van fraassen,"van den nest et al, like nico van kampen"
base beta,"beta encoders use base beta, early beta encoder, beta encoder, beta encoders, base class, using base 2, base sixteen, base ten, even base 256, base two"
base class,"using base 2, base ten, class requires, base two, exact class, natural class, class fo, base sixteen, class selected, base beta"
base sixteen,"base ten, base two, using base 2, base class, even base 256, base beta, octal floating point  base four, quaternary floating point  base three, hexadecimal floating point  base eight, beta encoders use base beta"
base ten,"base sixteen, base two, using base 2, base class, even base 256, base beta, hexadecimal floating point  base eight, octal floating point  base four, quaternary floating point  base three, golden ratio base"
base two,"using base 2, base ten, base sixteen, base class, even base 256, called two, separates two, two distinct, two series, two objects"
based applications,"based system, based systems, based implementations, applications across, based approaches, related applications, emerging applications, applications including, based methods, direct applications"
based approaches,"based methods, based implementations, based technique, based applications, based learning methods, alternative approaches, based systems, based learning, based system, based decision makers"
based binary search tree,"binary search tree, binary search trees, binary search tree algorithm, balanced binary search trees, balancing binary search tree, balancing binary search trees, self-balancing binary search tree, balanced binary search tree dynamically, many binary search trees, binary search tree data structures"
based centralized management server,"centralized data share either, automatically perform management, based systems, based system, independent management, based memory management system, resource management applied, control system based, management literature, based implementations"
based clustering produces complex models,"good clustering, means clustering, clustering algorithms, means clustering algorithm, means clustering tends, vector clustering algorithm, means clustering aims, means clustering minimizes within, large deep generative models, speaker clustering"
based conclusions,"generates conclusions, based approaches, based selection, based methods, based decision makers, based representation, based technique, largely based, based learning, based learning methods"
based cryptography,"based encryption, quantum cryptography, based implementations, algorithms based, provide information based, signaling protocol based, based methods, based representation, based binary search tree, based applications"
based decision makers,"decision model, decision network, based approaches, decision rules, based implementations, based selection, based representation, based systems, decision boundaries, based applications"
based education research laboratory,"research facilities, research program, based learning, based learning methods, assisted research, based applications, artificial intelligence research dedicated, based approaches, research project sponsored, nationwide research programme"
based encryption,"encryption algorithms, encryption algorithm, encryption scheme utilized, deterministic encryption, deterministic encryption scheme, advanced encryption standard, deterministic encryption schemes, data encryption standard, certificate-based encryption, manual symmetric encryption technique"
based expert systems,"expert systems, build expert systems, connectionist expert systems, based systems, based system, control system based, based implementations, based approaches, reasoning systems, individual based"
based format,"appropriate format, intuitive format, based implementations, based representation, based applications, based technique, based approaches, based systems, based methods, based system"
based implementations,"based approaches, based applications, based methods, based systems, based system, based representation, software implementations, algorithms based, based technique, potentially heterogeneous implementations depending"
based learning,"based learning methods, based learning algorithms, based machine learning applies, based machine learning, supervised learning, learning method, based approaches, human learning, semi-supervised learning, computer learning"
based learning algorithms,"learning algorithm, supervised learning algorithm, based learning methods, machine learning algorithms, algorithms based, based learning, based machine learning, kernelized learning algorithms, efficient algorithms, based machine learning applies"
based learning methods,"based learning, learning method, based learning algorithms, based machine learning, related supervised learning methods, based machine learning applies, based methods, based approaches, based technique, supervised learning"
based machine learning,"based machine learning systems inspired, based machine learning applies, machine learning, supervised machine learning, machine learning technique used, online machine learning, rule-based machine learning, machine learning algorithms, machine learning tasks, based learning methods"
based machine learning applies,"based machine learning, based machine learning systems inspired, machine learning, based learning, based learning methods, rule-based machine learning, machine learning technique used, supervised machine learning, based learning algorithms, online machine learning"
based machine learning systems inspired,"based machine learning, based machine learning applies, based learning methods, based learning algorithms, based learning, distributed artificial intelligence systems, lazy learning systems, based system, based systems, information processing paradigms inspired"
based media within,"particular media, strategically using digital media, streaming media, practical streaming media, computer media, uncompressed media, narrative media, supported streaming media, social media, based format"
based memory management system,"memory management, memory management unit, automatic memory management, memory management within, special memory allocation libraries, conventional dynamic memory allocation libraries, memory allocation, special dynamic memory allocation libraries, memory protection, memory sharing"
based methods,"based approaches, based technique, methods including, based implementations, methods comprise, efficient methods known, several methods, based learning methods, methods defined, effective methods exist"
based primarily,"largely based, based representation, based approaches, primarily used, based systems, based system, based implementations, based applications, based learning, based selection"
based program analysis polymorphic recursion,"polymorphic recursion, necessary employing polymorphic recursion  inference, recursive parametrically polymorphic function, achieve polymorphic behavior, polymorphic association, based implementations, based binary search tree, expressing computation based, based applications, algorithms based"
based representation,"refined representation, representation learning, based implementations, factorized representation, intermediate representation, based approaches, based methods, based primarily, based systems, based selection"
based sampling,"pool-based sampling, environmental sampling, boson sampling task consists, gibbs sampling, shannon sampling theorem, based selection, based subset, algorithms based, based methods, based learning algorithms"
based selection,"reward-based selection, based subset, based learning algorithms, based representation, based decision makers, portfolio selection, based sampling, based conclusions, based learning, based learning methods"
based sound recording,"analog recording, sound picked, symbolic sound corporation, based media within, output based, based applications, based format, based technique, based system, based representation"
based subset,"given subset, proper subset, major subset, every subset, strict subset, restricted subset, based selection, hierarchy based, random subset, based representation"
based system,"based systems, based applications, control system based, system represented, based implementations, based approaches, system components, software system, new system, based expert systems"
based systems,"based system, systems used, based applications, based implementations, similar systems, systems architecture, control system based, artificial systems, systems design, based approaches"
based technique,"based methods, technique used, based approaches, broadly applicable technique, based learning methods, mathematically based techniques whose purpose, structured technique, technique known, rigorous technique, based implementations"
baseline method,"supervised method, method used, alternative method, evaluation method, numerical method, method first proposed, jacobi method, gaussseidel method algorithm, markowitz method, iterative method proposed"
