IfCS,Phrase,Correct,Probablity,Attention
0,online information,,0.585030198,"0.07584536820650101, 0.08817694336175919, 0.28167375922203064, 0.2620607018470764, 0.29224321246147156"
0,metamathematics unit,,0.661033869,"0.00036768309655599296, 0.015251992270350456, 0.3671795725822449, 0.315079003572464, 0.30212172865867615"
0,based machine learning,,0.598505914,"0.6102195978164673, 0.0037077185697853565, 0.007254153024405241, 0.22819693386554718, 0.1506216824054718"
1,quantum cryptography,,0.680078208,"0.0003838356933556497, 0.013262228108942509, 0.3471859395503998, 0.3217989504337311, 0.3173690438270569"
1,linear inequality constraints,,0.945322871,"4.2271523852832615e-05, 0.0031273874919861555, 0.01724233664572239, 0.5542309284210205, 0.4253569543361664"
0,output classification,,0.791612804,"0.015217525884509087, 0.016211748123168945, 0.26589417457580566, 0.32136213779449463, 0.38131436705589294"
0,time compilers,,0.701068699,"0.2214728444814682, 0.03975481539964676, 0.19307242333889008, 0.2493392825126648, 0.29636067152023315"
0,artificial intelligence laboratory,,0.723652482,"0.0012029643403366208, 0.0005517589743249118, 0.5476440787315369, 0.2632984519004822, 0.18730278313159943"
0,dimensional real vector,,0.540783942,"0.000283790344838053, 0.5592399835586548, 0.001563220052048564, 0.29587146639823914, 0.14304158091545105"
0,matrix equations,,0.712993443,"4.274232196621597e-05, 0.04102013260126114, 0.4474084973335266, 0.29808762669563293, 0.21344093978405"
0,counterclockwise rotation,,0.505182266,"0.06846486777067184, 0.040701478719711304, 0.3684253990650177, 0.295192688703537, 0.22721554338932037"
0,linear behavior,,0.790143132,"2.1512556486413814e-05, 0.10069622844457626, 0.38561010360717773, 0.2926313877105713, 0.221040740609169"
0,virtual machine component,,0.789693713,"0.008436341769993305, 0.030312934890389442, 0.5025204420089722, 0.26255443692207336, 0.19617588818073273"
0,bayesian information,Bayesian information criterion,0.959389567,"0.00016752345254644752, 0.017539624124765396, 0.2624410390853882, 0.3455752432346344, 0.3742765784263611"
0,algorithm design technique,,0.536124229,"2.0659865640482167e-06, 0.00035212122020311654, 0.7110871076583862, 0.23693111538887024, 0.051627594977617264"
0,neural information processing workshop,,0.846616983,"3.2129595638252795e-05, 0.00020472650066949427, 0.002077205339446664, 0.8281052112579346, 0.16958077251911163"
1,superconducting quantum computing,,0.65784198,"9.05694323591888e-05, 0.0003422327572479844, 0.006798482500016689, 0.45593225955963135, 0.5368365049362183"
0,rotation data,,0.719307125,"0.001039478462189436, 0.013831235468387604, 0.3550122380256653, 0.31611621379852295, 0.3140008747577667"
0,cluster variances,,0.910054564,"0.0019446928054094315, 0.002135265152901411, 0.1869777888059616, 0.32587137818336487, 0.4830709397792816"
1,bivariate analysis,,0.842422128,"0.00046807294711470604, 0.008214783854782581, 0.2945081889629364, 0.34094104170799255, 0.3558679521083832"
1,density matrix,,0.692245305,"6.57559503451921e-05, 0.0003871665394399315, 0.2710731327533722, 0.35024401545524597, 0.3782299757003784"
1,flow diagram,,0.535563767,"0.003554542548954487, 0.024421285837888718, 0.39124852418899536, 0.3164852261543274, 0.26429039239883423"
0,schnhagestrassen algorithm,Schönhage–Strassen algorithm,0.792436957,"0.004404702689498663, 0.005089500453323126, 0.4093848466873169, 0.31230291724205017, 0.26881811022758484"
1,categorical distribution,,0.903687656,"0.10178349912166595, 0.010692506097257137, 0.23388954997062683, 0.2967451512813568, 0.3568893074989319"
0,digital sort,,0.715086281,"0.00037773372605443, 0.985493004322052, 0.00800076499581337, 0.0036862988490611315, 0.0024421592243015766"
0,probability density proportional,,0.68321079,"9.116633009398356e-05, 0.00014415539044421166, 0.5336925387382507, 0.2773067057132721, 0.18876543641090393"
0,dimensional dynamic models,,0.696750641,"0.0001942930102813989, 0.00022292528592515737, 0.0041289194487035275, 0.46100863814353943, 0.5344452261924744"
1,superconducting computing,,0.808537126,"0.0003058057918678969, 0.0024756193161010742, 0.23600181937217712, 0.3396930992603302, 0.42152369022369385"
0,dimensional vector space model implementations,dimensional vector space model,0.54944706,"2.5678969905129634e-05, 7.495896170439664e-06, 1.4498105883831158e-05, 0.0005230741226114333, 0.9994291663169861"
1,specification language,,0.582094312,"0.00022561638616025448, 0.014064595103263855, 0.3228541314601898, 0.3372783958911896, 0.3255772888660431"
0,probabilistic parsing mechanism,,0.702647328,"9.761372348293662e-05, 0.0015022013103589416, 0.006469553802162409, 0.4597533047199249, 0.5321773290634155"
0,network environments,,0.791675091,"0.0004821241891477257, 0.08678498864173889, 0.2650829255580902, 0.31858545541763306, 0.3290645182132721"
1,plane sweep algorithm,,0.878874063,"0.005858035758137703, 0.014795343391597271, 0.01174952182918787, 0.6279399394989014, 0.3396572470664978"
0,model nonlinear processes,,0.690006256,"0.00018061620357912034, 0.00016715216042939574, 0.0032066276762634516, 0.3669027090072632, 0.629542887210846"
0,modern deep learning models,,0.535629451,"0.04306861013174057, 0.001165339257568121, 0.0003456993727013469, 0.011846551671624184, 0.9435738325119019"
0,quantum programming environment,,0.740817189,"6.954697164474055e-05, 9.794234938453883e-05, 0.03893226012587547, 0.43616339564323425, 0.5247368812561035"
0,biological data,,0.555980384,"0.09120847284793854, 0.01389155164361, 0.3106973469257355, 0.274149626493454, 0.3100530207157135"
0,software design description,,0.849350691,"7.295941759366542e-05, 0.0028218694496899843, 0.05899842083454132, 0.41387656331062317, 0.5242301225662231"
0,classical statistical databases,statistical databases,0.505091429,"0.4300057888031006, 0.2762037515640259, 0.0033835801295936108, 0.09554826468229294, 0.19485865533351898"
0,constraint decision model,,0.776587844,"3.213097443222068e-05, 0.002908267080783844, 0.003248332068324089, 0.44543057680130005, 0.5483806729316711"
0,protein sequences,,0.605227113,"0.037259284406900406, 0.1048411950469017, 0.30118927359580994, 0.2627682089805603, 0.2939419746398926"
0,classifier chain,,0.69702965,"4.1427305404795334e-05, 0.010164374485611916, 0.2682323157787323, 0.3382705748081207, 0.3832913041114807"
0,modelling software,,0.742460728,"0.020751971751451492, 0.015617799945175648, 0.13936135172843933, 0.31913015246391296, 0.5051387548446655"
0,microevolutionary processes,,0.537625134,"0.04421175271272659, 0.0029817908070981503, 0.2151944637298584, 0.3201451897621155, 0.41746675968170166"
1,digital computer,,0.893230081,"0.04742703214287758, 0.024867601692676544, 0.18648840487003326, 0.3323240280151367, 0.40889298915863037"
0,phylogenetic trees,,0.670362651,"0.012054919265210629, 0.00015078629076015204, 0.1530054807662964, 0.30939534306526184, 0.5253934860229492"
1,min-conflicts algorithm,,0.703510165,"0.004423890262842178, 0.004665027838200331, 0.4086695611476898, 0.30555039644241333, 0.27669110894203186"
0,speech processing applications,,0.541047513,"0.004995628260076046, 0.002729390049353242, 0.09014956653118134, 0.3311307430267334, 0.5709946751594543"
0,user virtualization decouples,,0.734873176,"0.07382519543170929, 0.0005505905719473958, 0.0051116603426635265, 0.33590713143348694, 0.5846053957939148"
0,linear approach,,0.502501011,"1.1625966180872638e-06, 0.6792798638343811, 0.17927151918411255, 0.09002349525690079, 0.051423970609903336"
0,random iterates,,0.557038486,"0.013694217428565025, 0.011040616780519485, 0.24107380211353302, 0.32127681374549866, 0.412914514541626"
1,number theory,,0.527274787,"0.0654984712600708, 0.004309722222387791, 0.31793344020843506, 0.3036898076534271, 0.3085685670375824"
0,solving sparse linear systems,,0.5334571,"0.07511840760707855, 0.001555825350806117, 0.0003686865675263107, 0.027228770777583122, 0.8957282304763794"
0,biological computation,,0.649014175,"0.07436267286539078, 0.0014713957207277417, 0.3285243511199951, 0.29629603028297424, 0.29934558272361755"
0,neural networks training,,0.862391889,"4.8410343879368156e-05, 0.0003708349831867963, 0.340048611164093, 0.40325725078582764, 0.25627487897872925"
0,representation curve,,0.759461164,"0.0009448308846913278, 0.0016345495823770761, 0.35316580533981323, 0.33233749866485596, 0.31191733479499817"
0,quantificational logic,,0.706565619,"0.006861131172627211, 0.039473529905080795, 0.39839115738868713, 0.2973119914531708, 0.2579621970653534"
0,code modulation,,0.505027711,"7.287609150807839e-06, 0.0008214354747906327, 0.2464430034160614, 0.376602441072464, 0.3761257827281952"
0,floor space,,0.520483077,"0.05212021619081497, 0.005911136046051979, 0.35452547669410706, 0.31709402799606323, 0.2703492045402527"
0,computational methods,,0.684002995,"2.783727177302353e-05, 0.11466249823570251, 0.3624655604362488, 0.2938525080680847, 0.2289915680885315"
0,numeric computation,,0.864224195,"0.04710918664932251, 0.0024486961774528027, 0.38676390051841736, 0.3023858666419983, 0.26129239797592163"
0,abstract framework,,0.531947315,"0.0005668431986123323, 0.011133411899209023, 0.1988590657711029, 0.3365759551525116, 0.45286476612091064"
0,linear discriminant,,0.955928445,"0.0004441507626324892, 0.10685063153505325, 0.2783382833003998, 0.3208320438861847, 0.29353493452072144"
0,recursive parametrically polymorphic function,,0.771991849,"0.003090767189860344, 0.008041281253099442, 0.0006044688052497804, 0.015972357243299484, 0.972291111946106"
0,technology database,,0.833845854,"0.05979340523481369, 0.001976985950022936, 0.1532060205936432, 0.3142921030521393, 0.4707314670085907"
0,cut theorem,,0.546698332,"0.30306476354599, 0.06233108043670654, 0.4161008298397064, 0.14056949317455292, 0.07793381810188293"
0,beta encoders,,0.517387331,"0.0029211847577244043, 0.0023216346744447947, 0.1710854470729828, 0.33389535546302795, 0.4897764027118683"
0,computer mouse,,0.796770334,"0.0014285927172750235, 0.013359167613089085, 0.2745981216430664, 0.353930801153183, 0.35668325424194336"
0,factor approximations,,0.54120934,"0.31551414728164673, 0.012973636388778687, 0.3093889653682709, 0.198794886469841, 0.16332831978797913"
0,computational systems,,0.755397439,"0.0005388175486586988, 0.010154602117836475, 0.2785460650920868, 0.34149792790412903, 0.36926257610321045"
0,parallel sort,,0.68981427,"0.002534644678235054, 0.98384028673172, 0.007677702698856592, 0.003479365259408951, 0.0024681019131094217"
0,compressed suffix array,,0.508441508,"3.261369056417607e-05, 0.33801552653312683, 0.03418558090925217, 0.4320826828479767, 0.19568364322185516"
1,karatsuba algorithm,,0.781019926,"0.10883451253175735, 0.00782845914363861, 0.4192434251308441, 0.26106250286102295, 0.20303115248680115"
0,process pixel data,,0.670681477,"0.00017976020171772689, 0.0010407686932012439, 0.03967965394258499, 0.5382607579231262, 0.4208390712738037"
0,vector clustering algorithm,,0.936127186,"0.0004863102803938091, 0.000330706883687526, 0.004502877127379179, 0.4885769486427307, 0.5061031579971313"
0,bayesian svms,,0.900784612,"0.0002979683340527117, 0.008381426334381104, 0.24207423627376556, 0.3574407696723938, 0.3918055593967438"
0,random permutation,,0.501407087,"0.0025703131686896086, 0.12557551264762878, 0.33226990699768066, 0.26782041788101196, 0.2717638313770294"
0,term data model,,0.708284259,"0.41479596495628357, 0.0011324926745146513, 0.003521934151649475, 0.2916564345359802, 0.2888931930065155"
0,underlying graph,,0.589877784,"0.5635566115379333, 0.0012074279366061091, 0.1980573534965515, 0.13225296139717102, 0.10492567718029022"
0,information technology methods,,0.563530803,"3.4318120015086606e-05, 0.001016157097183168, 0.19459418952465057, 0.48144781589508057, 0.32290759682655334"
0,observation function,,0.630515337,"0.0002272216515848413, 0.010404285043478012, 0.5090526342391968, 0.2863015830516815, 0.1940142810344696"
0,combinatorial optimization,,0.623786569,"0.001916019944474101, 0.00908667966723442, 0.3215036392211914, 0.3298488259315491, 0.3376447856426239"
0,background assumption,,0.687168539,"0.08920993655920029, 0.28635695576667786, 0.3723817765712738, 0.15220126509666443, 0.09985005855560303"
0,computing power,,0.824462414,"0.00010963145905407146, 0.042748816311359406, 0.4616059958934784, 0.29486462473869324, 0.20067095756530762"
0,time markov process,continuous-time Markov process,0.810774863,"0.10169946402311325, 0.013091922737658024, 0.05387912690639496, 0.43804237246513367, 0.39328715205192566"
0,row vector,,0.767338634,"0.011743392795324326, 0.0009309271699748933, 0.37253251671791077, 0.31644392013549805, 0.2983492612838745"
0,process plant,,0.788721859,"0.006957950536161661, 0.015681851655244827, 0.303972989320755, 0.32310906052589417, 0.35027819871902466"
0,data transfer,,0.798015118,"0.005777672398835421, 0.18757380545139313, 0.2711982727050781, 0.26686927676200867, 0.2685810625553131"
0,software engineeringis,software engineering,0.883235991,"0.005568426102399826, 0.045248743146657944, 0.20431174337863922, 0.33299610018730164, 0.4118749797344208"
1,variational inference,,0.967949271,"0.00045691378181800246, 0.010714043863117695, 0.29324114322662354, 0.3502042293548584, 0.3453836441040039"
0,text retrieval,,0.679461002,"0.1152518093585968, 0.09894146770238876, 0.3118727207183838, 0.2459929883480072, 0.22794108092784882"
0,categorize unlabeled data,,0.740134716,"0.2163028120994568, 0.003371019847691059, 0.01489632111042738, 0.38473132252693176, 0.3806985914707184"
1,cross-entropy method,,0.747003198,"1.996961873373948e-05, 0.08035505563020706, 0.34641504287719727, 0.3043056130409241, 0.26890435814857483"
0,random projection,,0.679632068,"0.0001820132602006197, 0.00031470434623770416, 0.2547563910484314, 0.3488740622997284, 0.3958728015422821"
0,ngh systems,,0.699711382,"0.17984266579151154, 0.012575163505971432, 0.23402437567710876, 0.2673753499984741, 0.30618253350257874"
0,dimensional theories,,0.641804338,"0.0021320616360753775, 0.07049674540758133, 0.3591546416282654, 0.2986762225627899, 0.26954033970832825"
0,polynomial expression,,0.681304395,"0.00012224834063090384, 0.037843335419893265, 0.5297487378120422, 0.26363998651504517, 0.1686456799507141"
0,partitioning design pattern,,0.770938635,"0.00019125567632727325, 0.0009048665524460375, 0.1904514878988266, 0.5270950198173523, 0.2813573479652405"
1,pigeonhole sort,,0.50993365,"0.0007326641352847219, 0.9861406087875366, 0.008342109620571136, 0.0029826757963746786, 0.001801903243176639"
0,order logic,higher-order logic,0.604008853,"0.8984770774841309, 0.005748429335653782, 0.04657885059714317, 0.027322184294462204, 0.02187342941761017"
0,structured model,,0.580362797,"0.002597070299088955, 0.003311700187623501, 0.3054000437259674, 0.3311886489391327, 0.3575025200843811"
0,learning state,,0.519088566,"0.007508080918341875, 0.6691257953643799, 0.12011704593896866, 0.10145654529333115, 0.10179247707128525"
0,plate notation,,0.679126441,"0.07359559834003448, 0.09539876878261566, 0.5027430653572083, 0.20519857108592987, 0.1230640634894371"
0,tech mining,,0.513192713,"0.009243854321539402, 0.21452024579048157, 0.3713220953941345, 0.22785797715187073, 0.17705583572387695"
0,regular graph,,0.608006537,"0.5983840823173523, 0.0004890969139523804, 0.14830847084522247, 0.1273215115070343, 0.12549684941768646"
1,automatic programming,,0.830542445,"0.22751697897911072, 0.0019488853868097067, 0.20450888574123383, 0.27025070786476135, 0.29577451944351196"
0,convolutional code,,0.709263682,"0.0347457192838192, 0.0008492338238283992, 0.1885131299495697, 0.3320345878601074, 0.4438573718070984"
0,oriented code,,0.715523362,"0.015848062932491302, 0.0008301874622702599, 0.2186191827058792, 0.35561588406562805, 0.409086674451828"
0,balancing binary search tree,self-balancing binary search tree,0.532017887,"0.24186642467975616, 0.0007729046046733856, 0.06604360044002533, 0.00016972194134723395, 0.6911473870277405"
0,adaptive systems,,0.513864934,"0.003554167691618204, 0.009293374605476856, 0.26168060302734375, 0.3334695100784302, 0.3920023441314697"
0,redeveloping logic,,0.536214292,"0.31526023149490356, 0.046258583664894104, 0.3128209114074707, 0.1834063082933426, 0.14225396513938904"
0,site tracing,,0.503435373,"0.0046325260773301125, 0.3263574242591858, 0.3720286190509796, 0.17372390627861023, 0.12325748801231384"
1,differential entropy,,0.77169311,"0.00961846299469471, 0.0018259085481986403, 0.2035197913646698, 0.33182477951049805, 0.45321106910705566"
0,software engineering body,,0.650588512,"2.185341509175487e-05, 0.0013122883392497897, 0.5532546043395996, 0.2664678692817688, 0.1789434254169464"
1,extended binary trees,,0.507699668,"0.6821321845054626, 7.963114330777898e-05, 7.424095383612439e-05, 0.10817182064056396, 0.20954211056232452"
0,key algorithm,Symmetric-key algorithm,0.710395813,"0.013770068995654583, 0.008162850514054298, 0.4721755087375641, 0.2880670726299286, 0.21782448887825012"
0,propositional calculuswhich sets,,0.526463211,"0.01706383004784584, 0.00017368773114867508, 0.6239386200904846, 0.2598239481449127, 0.09899988025426865"
0,fast multiplication algorithms,,0.51127106,"0.0067048268392682076, 0.10853307694196701, 0.017957940697669983, 0.6004347801208496, 0.26636937260627747"
0,inverse system,,0.646325111,"0.09606543183326721, 0.02261248789727688, 0.2602507174015045, 0.29517030715942383, 0.32590100169181824"
0,division multiplexing,,0.541328371,"0.022511955350637436, 0.19785690307617188, 0.24545614421367645, 0.25276151299476624, 0.2814134657382965"
0,cannot compute,,0.589686036,"0.13401766121387482, 0.018027959391474724, 0.3813041150569916, 0.244814932346344, 0.22183531522750854"
0,division algorithms fall,,0.713382959,"0.00016010871331673115, 0.00023254116240423173, 0.30107244849205017, 0.4468456208705902, 0.25168922543525696"
0,technology information,,0.532690346,"0.004182006698101759, 0.14791181683540344, 0.3367327153682709, 0.26412826776504517, 0.24704520404338837"
0,linear frequency,,0.727965415,"4.690835794463055e-06, 0.010932905599474907, 0.34559524059295654, 0.3473689556121826, 0.29609811305999756"
0,natural neuronal processes,,0.747766852,"0.09974517673254013, 0.0060530854389071465, 0.0064195916056632996, 0.3871203362941742, 0.5006618499755859"
0,dimensional optimization problem,Infinite-dimensional optimization,0.512234807,"0.0006245186668820679, 0.0036810673773288727, 0.718158483505249, 0.18714728951454163, 0.09038862586021423"
0,nonlinear global analysis,,0.630024076,"6.995104286033893e-06, 0.0007838275050744414, 0.015692323446273804, 0.4981911778450012, 0.4853256344795227"
0,recursively dividing,,0.553821087,"0.0017383925151079893, 0.16721586883068085, 0.41444677114486694, 0.22935815155506134, 0.1872408390045166"
0,domain method,,0.655697107,"0.0020038357470184565, 0.11027558892965317, 0.3689013421535492, 0.2813967764377594, 0.2374224215745926"
0,computational cognitive psychology,,0.836779118,"8.630225056549534e-05, 0.005901208147406578, 0.16112981736660004, 0.49430593848228455, 0.3385767936706543"
0,sensor networks,,0.727397144,"0.0003796439559664577, 0.0039580506272614, 0.27191153168678284, 0.3441618084907532, 0.3795889616012573"
0,complexity bounds,,0.546063542,"0.0016497649485245347, 0.010445263236761093, 0.3062683939933777, 0.3343368172645569, 0.3472997844219208"
0,data flows,,0.534397662,"0.00019596451602410525, 0.5682976245880127, 0.2380465865135193, 0.11390694975852966, 0.07955286651849747"
1,row vectors,,0.50674516,"0.00639561889693141, 0.004680567421019077, 0.4737868309020996, 0.2920379936695099, 0.22309905290603638"
0,accurate identification method,,0.760009348,"0.020571503788232803, 0.05580541491508484, 0.281329870223999, 0.44047072529792786, 0.20182253420352936"
1,cache coherence,,0.774828255,"0.0004921428626403213, 0.0064736660569906235, 0.21967966854572296, 0.32591482996940613, 0.4474397301673889"
0,global robustness,,0.52485019,"0.00936926156282425, 0.005260113626718521, 0.2502729594707489, 0.33494266867637634, 0.4001550078392029"
0,geometrical model,Geometric modeling,0.718091786,"0.0008889503660611808, 0.004472816362977028, 0.36430925130844116, 0.3329833447933197, 0.2973456084728241"
0,computability theorists,,0.852904201,"0.00018176698358729482, 0.0512152723968029, 0.2647765278816223, 0.32447129487991333, 0.35935506224632263"
0,2007  algorithmic mechanism design,,0.505395532,"0.20613883435726166, 0.0009958017617464066, 1.620044895389583e-05, 0.0007270234054885805, 0.7921221256256104"
1,conjugate gradient method,,0.731647789,"0.00017642381135374308, 6.405277872545412e-06, 0.1592038869857788, 0.5097131133079529, 0.3309001326560974"
1,pci express,,0.723786116,"0.0005526064778678119, 0.3292749226093292, 0.19526945054531097, 0.2266712635755539, 0.24823176860809326"
1,range encoding,,0.604847193,"0.0008977403049357235, 0.005858827847987413, 0.29185155034065247, 0.33378860354423523, 0.36760327219963074"
