phrase,sentances,,,,,,,,,,,,,,,,,,,
wake sleep,"In contrast to Supervised method's dominant use of Backpropagation, Unsupervised Learning also employ other methods including: Hopfield learning rule, Boltzmann learning rule, Contrastive Divergence, Wake Sleep, Variational Inference, Maximum Likelihood, Maximum A Posteriori, Gibbs Sampling, and backpropagating reconstruction errors or hidden state reparameterizations.",,,,,,,,,,,,,,,,,,,
variational inference,"Florian Wenzel developed two different versions, a variational inference (VI) scheme for the Bayesian kernel support vector machine (SVM) and a stochastic version (SVI) for the linear Bayesian SVM. !! In contrast to Supervised method's dominant use of Backpropagation, Unsupervised Learning also employ other methods including: Hopfield learning rule, Boltzmann learning rule, Contrastive Divergence, Wake Sleep, Variational Inference, Maximum Likelihood, Maximum A Posteriori, Gibbs Sampling, and backpropagating reconstruction errors or hidden state reparameterizations.",,,,,,,,,,,,,,,,,,,
unsupervised learning also employ,"In contrast to Supervised method's dominant use of Backpropagation, Unsupervised Learning also employ other methods including: Hopfield learning rule, Boltzmann learning rule, Contrastive Divergence, Wake Sleep, Variational Inference, Maximum Likelihood, Maximum A Posteriori, Gibbs Sampling, and backpropagating reconstruction errors or hidden state reparameterizations.",,,,,,,,,,,,,,,,,,,
hidden state reparameterizations,"In contrast to Supervised method's dominant use of Backpropagation, Unsupervised Learning also employ other methods including: Hopfield learning rule, Boltzmann learning rule, Contrastive Divergence, Wake Sleep, Variational Inference, Maximum Likelihood, Maximum A Posteriori, Gibbs Sampling, and backpropagating reconstruction errors or hidden state reparameterizations.",,,,,,,,,,,,,,,,,,,
classical example,"The classical example of unsupervised learning in the study of neural networks is Donald Hebb's principle, that is, neurons that fire together wire together.",,,,,,,,,,,,,,,,,,,
fire together wire together,"The classical example of unsupervised learning in the study of neural networks is Donald Hebb's principle, that is, neurons that fire together wire together.",,,,,,,,,,,,,,,,,,,
mathematics focused,Chaos theory is an interdisciplinary scientific theory and branch of mathematics focused on underlying patterns and deterministic laws highly sensitive to initial conditions in dynamical systems that were thought to have completely random states of disorder and irregularities.,,,,,,,,,,,,,,,,,,,
completely random states,Chaos theory is an interdisciplinary scientific theory and branch of mathematics focused on underlying patterns and deterministic laws highly sensitive to initial conditions in dynamical systems that were thought to have completely random states of disorder and irregularities.,,,,,,,,,,,,,,,,,,,
deterministic laws highly sensitive,Chaos theory is an interdisciplinary scientific theory and branch of mathematics focused on underlying patterns and deterministic laws highly sensitive to initial conditions in dynamical systems that were thought to have completely random states of disorder and irregularities.,,,,,,,,,,,,,,,,,,,
initial conditions,"In continuous time, the problem of finding a closed form solution for the state variables as a function of time and of the initial conditions is called the initial value problem. !! Chaos theory is an interdisciplinary scientific theory and branch of mathematics focused on underlying patterns and deterministic laws highly sensitive to initial conditions in dynamical systems that were thought to have completely random states of disorder and irregularities. !! is called the vector of initial conditions or simply the initial condition, and contains nk pieces of information, n being the dimension of the vector X and k = 1 being the number of time lags in the system.",,,,,,,,,,,,,,,,,,,
underlying patterns,"Chaos theory states that within the apparent randomness of chaotic complex systems, there are underlying patterns, interconnectedness, constant feedback loops, repetition, self-similarity, fractals, and self-organization. !! Chaos theory is an interdisciplinary scientific theory and branch of mathematics focused on underlying patterns and deterministic laws highly sensitive to initial conditions in dynamical systems that were thought to have completely random states of disorder and irregularities.",,,,,,,,,,,,,,,,,,,
constant feedback loops,"Chaos theory states that within the apparent randomness of chaotic complex systems, there are underlying patterns, interconnectedness, constant feedback loops, repetition, self-similarity, fractals, and self-organization.",,,,,,,,,,,,,,,,,,,
apparent randomness,"Chaos theory states that within the apparent randomness of chaotic complex systems, there are underlying patterns, interconnectedness, constant feedback loops, repetition, self-similarity, fractals, and self-organization.",,,,,,,,,,,,,,,,,,,
including meteorology,"Chaos theory has applications in a variety of disciplines, including meteorology, anthropology, sociology, environmental science, computer science, engineering, economics, ecology, pandemic crisis management.",,,,,,,,,,,,,,,,,,,
pandemic crisis management,"Chaos theory has applications in a variety of disciplines, including meteorology, anthropology, sociology, environmental science, computer science, engineering, economics, ecology, pandemic crisis management.",,,,,,,,,,,,,,,,,,,
environmental science,"Chaos theory has applications in a variety of disciplines, including meteorology, anthropology, sociology, environmental science, computer science, engineering, economics, ecology, pandemic crisis management.",,,,,,,,,,,,,,,,,,,
theory formed,"The theory formed the basis for such fields of study as complex dynamical systems, edge of chaos theory, and self-assembly processes.",,,,,,,,,,,,,,,,,,,
264 decoders always support quarter,H. 264 decoders always support quarter-pixel motion.,,,,,,,,,,,,,,,,,,,
much like half,"Quarter-pixel motion compensation, much like half-pixel, is achieved through interpolation.",,,,,,,,,,,,,,,,,,,
using statistical methods,"Statistical relational learning (SRL) is a subdiscipline of artificial intelligence and machine learning that is concerned with domain models that exhibit both uncertainty (which can be dealt with using statistical methods) and complex, relational structure.",,,,,,,,,,,,,,,,,,,
field include statistical relational learning,"Therefore, alternative terms that reflect the main foci of the field include statistical relational learning and reasoning (emphasizing the importance of reasoning) and first-order probabilistic languages (emphasizing the key properties of the languages with which models are represented).",,,,,,,,,,,,,,,,,,,
alternative terms,"Therefore, alternative terms that reflect the main foci of the field include statistical relational learning and reasoning (emphasizing the importance of reasoning) and first-order probabilistic languages (emphasizing the key properties of the languages with which models are represented).",,,,,,,,,,,,,,,,,,,
main foci,"Therefore, alternative terms that reflect the main foci of the field include statistical relational learning and reasoning (emphasizing the importance of reasoning) and first-order probabilistic languages (emphasizing the key properties of the languages with which models are represented).",,,,,,,,,,,,,,,,,,,
common ones,"A number of canonical tasks are associated with statistical relational learning, the most common ones being.",,,,,,,,,,,,,,,,,,,
canonical tasks,"A number of canonical tasks are associated with statistical relational learning, the most common ones being.",,,,,,,,,,,,,,,,,,,
human body,"Human presence detection is a range of technologies and methods for detecting the presence of a human body in an area of interest (AOI), or verification that computer, smartphone (or other device controlled by software) is operated by human. !! Unlike human sensing, that is dealing with human body only, human presence detection technologies are used to verify for safety, security or other reasons that human person, but not any other object is identified. !! A peripheral nerve interface is the bridge between the peripheral nervous system and a computer interface which serves as a bidirectional information transducer recording and sending signals between the human body and a machine processor.",,,,,,,,,,,,,,,,,,,
device controlled,"Human presence detection is a range of technologies and methods for detecting the presence of a human body in an area of interest (AOI), or verification that computer, smartphone (or other device controlled by software) is operated by human.",,,,,,,,,,,,,,,,,,,
human presence detection,"Human presence detection is a range of technologies and methods for detecting the presence of a human body in an area of interest (AOI), or verification that computer, smartphone (or other device controlled by software) is operated by human. !! Unlike human sensing, that is dealing with human body only, human presence detection technologies are used to verify for safety, security or other reasons that human person, but not any other object is identified. !! Software and hardware technologies are used for human presence detection.",,,,,,,,,,,,,,,,,,,
unlike human sensing,"Unlike human sensing, that is dealing with human body only, human presence detection technologies are used to verify for safety, security or other reasons that human person, but not any other object is identified.",,,,,,,,,,,,,,,,,,,
human presence detection technologies,"Unlike human sensing, that is dealing with human body only, human presence detection technologies are used to verify for safety, security or other reasons that human person, but not any other object is identified.",,,,,,,,,,,,,,,,,,,
human person,"Unlike human sensing, that is dealing with human body only, human presence detection technologies are used to verify for safety, security or other reasons that human person, but not any other object is identified.",,,,,,,,,,,,,,,,,,,
world bank,"Furthermore, the international organizations such as the I. M. F. and the World Bank have independent evaluation functions.",,,,,,,,,,,,,,,,,,,
establish un norms,"The various funds, programmes, and agencies of the United Nations has a mix of independent, semi-independent and self-evaluation functions, which have organized themselves as a system-wide UN Evaluation Group (UNEG), that works together to strengthen the function, and to establish UN norms and standards for evaluation.",,,,,,,,,,,,,,,,,,,
various funds,"The various funds, programmes, and agencies of the United Nations has a mix of independent, semi-independent and self-evaluation functions, which have organized themselves as a system-wide UN Evaluation Group (UNEG), that works together to strengthen the function, and to establish UN norms and standards for evaluation.",,,,,,,,,,,,,,,,,,,
works together,"The various funds, programmes, and agencies of the United Nations has a mix of independent, semi-independent and self-evaluation functions, which have organized themselves as a system-wide UN Evaluation Group (UNEG), that works together to strengthen the function, and to establish UN norms and standards for evaluation.",,,,,,,,,,,,,,,,,,,
united nations,"The various funds, programmes, and agencies of the United Nations has a mix of independent, semi-independent and self-evaluation functions, which have organized themselves as a system-wide UN Evaluation Group (UNEG), that works together to strengthen the function, and to establish UN norms and standards for evaluation.",,,,,,,,,,,,,,,,,,,
wide un evaluation group,"The various funds, programmes, and agencies of the United Nations has a mix of independent, semi-independent and self-evaluation functions, which have organized themselves as a system-wide UN Evaluation Group (UNEG), that works together to strengthen the function, and to establish UN norms and standards for evaluation.",,,,,,,,,,,,,,,,,,,
evaluation functions,"The various funds, programmes, and agencies of the United Nations has a mix of independent, semi-independent and self-evaluation functions, which have organized themselves as a system-wide UN Evaluation Group (UNEG), that works together to strengthen the function, and to establish UN norms and standards for evaluation.",,,,,,,,,,,,,,,,,,,
resource usage,"Computational complexity theory focuses on classifying computational problems according to their resource usage, and relating these classes to each other.",,,,,,,,,,,,,,,,,,,
classifying computational problems according,"In computer science, parameterized complexity is a branch of computational complexity theory that focuses on classifying computational problems according to their inherent difficulty with respect to multiple parameters of the input or output. !! Computational complexity theory focuses on classifying computational problems according to their resource usage, and relating these classes to each other.",,,,,,,,,,,,,,,,,,,
computational complexity theory focuses,"Computational complexity theory focuses on classifying computational problems according to their resource usage, and relating these classes to each other.",,,,,,,,,,,,,,,,,,,
practical limits,One of the roles of computational complexity theory is to determine the practical limits on what computers can and cannot do.,,,,,,,,,,,,,,,,,,,
particular algorithm,"A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem.",,,,,,,,,,,,,,,,,,,
latter asks,"A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem.",,,,,,,,,,,,,,,,,,,
possible algorithms,"A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem.",,,,,,,,,,,,,,,,,,,
key distinction,"A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem.",,,,,,,,,,,,,,,,,,,
resources needed,"Algorithm analysis is an important part of a broader computational complexity theory, which provides theoretical estimates for the resources needed by any algorithm which solves a given computational problem. !! In computer science, the analysis of algorithms is the process of finding the computational complexity of algorithmsthe amount of time, storage, or other resources needed to execute them. !! A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem. !! Queueing theory is generally considered a branch of operations research because the results are often used when making business decisions about the resources needed to provide a service.",,,,,,,,,,,,,,,,,,,
general question,"A key distinction between analysis of algorithms and computational complexity theory is that the former is devoted to analyzing the amount of resources needed by a particular algorithm to solve a problem, whereas the latter asks a more general question about all possible algorithms that could be used to solve the same problem.",,,,,,,,,,,,,,,,,,,
appropriately restricted resources,"More precisely, computational complexity theory tries to classify problems that can or cannot be solved with appropriately restricted resources.",,,,,,,,,,,,,,,,,,,
computational complexity theory tries,"More precisely, computational complexity theory tries to classify problems that can or cannot be solved with appropriately restricted resources.",,,,,,,,,,,,,,,,,,,
classify problems,"More precisely, computational complexity theory tries to classify problems that can or cannot be solved with appropriately restricted resources.",,,,,,,,,,,,,,,,,,,
problem refers,"In computational complexity theory, a problem refers to the abstract question to be solved.",,,,,,,,,,,,,,,,,,,
abstract question,"In computational complexity theory, a problem refers to the abstract question to be solved.",,,,,,,,,,,,,,,,,,,
free content projects,"Database dumps are often published by free content projects, to allow reuse or forking, as well as local searching of the database using tools such as grep.",,,,,,,,,,,,,,,,,,,
often published,"Database dumps are often published by free content projects, to allow reuse or forking, as well as local searching of the database using tools such as grep.",,,,,,,,,,,,,,,,,,,
local searching,"Database dumps are often published by free content projects, to allow reuse or forking, as well as local searching of the database using tools such as grep.",,,,,,,,,,,,,,,,,,,
allow reuse,"Database dumps are often published by free content projects, to allow reuse or forking, as well as local searching of the database using tools such as grep.",,,,,,,,,,,,,,,,,,,
exceedingly rare,"In computer science, the ostrich algorithm is a strategy of ignoring potential problems on the basis that they may be exceedingly rare.",,,,,,,,,,,,,,,,,,,
ignoring potential problems,"In computer science, the ostrich algorithm is a strategy of ignoring potential problems on the basis that they may be exceedingly rare.",,,,,,,,,,,,,,,,,,,
prevention would,The ostrich algorithm pretends there is no problem and is reasonable to use if deadlocks occur very rarely and the cost of their prevention would be high.,,,,,,,,,,,,,,,,,,,
deadlocks occur,The ostrich algorithm pretends there is no problem and is reasonable to use if deadlocks occur very rarely and the cost of their prevention would be high.,,,,,,,,,,,,,,,,,,,
ostrich algorithm pretends,The ostrich algorithm pretends there is no problem and is reasonable to use if deadlocks occur very rarely and the cost of their prevention would be high.,,,,,,,,,,,,,,,,,,,
dynamic avoidance,"Although using the ostrich algorithm is one of the methods of dealing with deadlocks, other effective methods exist such as dynamic avoidance, banker's algorithm, detection and recovery, and prevention.",,,,,,,,,,,,,,,,,,,
effective methods exist,"Although using the ostrich algorithm is one of the methods of dealing with deadlocks, other effective methods exist such as dynamic avoidance, banker's algorithm, detection and recovery, and prevention.",,,,,,,,,,,,,,,,,,,
although using,"Although using the ostrich algorithm is one of the methods of dealing with deadlocks, other effective methods exist such as dynamic avoidance, banker's algorithm, detection and recovery, and prevention.",,,,,,,,,,,,,,,,,,,
although efficient,"Although efficient, using the Ostrich algorithm trades correctness for convenience.",,,,,,,,,,,,,,,,,,,
ostrich algorithm trades correctness,"Although efficient, using the Ostrich algorithm trades correctness for convenience.",,,,,,,,,,,,,,,,,,,
returned solution,"In computer science and operations research, approximation algorithms are efficient algorithms that find approximate solutions to optimization problems (in particular NP-hard problems) with provable guarantees on the distance of the returned solution to the optimal one. !! However, there are also many approximation algorithms that provide an additive guarantee on the quality of the returned solution.",,,,,,,,,,,,,,,,,,,
operations research,"Constraint programming (CP) is a paradigm for solving combinatorial problems that draws on a wide range of techniques from artificial intelligence, computer science, and operations research. !! In computer science and operations research, the artificial bee colony algorithm (ABC) is an optimization algorithm based on the intelligent foraging behaviour of honey bee swarm, proposed by Dervi Karaboa (Erciyes University) in 2005. !! Factor analysis is commonly used in psychometrics, personality psychology, biology, marketing, product management, operations research, finance, and machine learning. !! Description of semi-infinite programming from INFORMS (Institute for Operations Research and Management Science). !! In operations research, the area in which online algorithms are developed is called online optimization. !! Online optimization is a field of optimization theory, more popular in computer science and operations research, that deals with optimization problems having no or incomplete knowledge of the future (online). !! Combinatorial optimization is related to operations research, algorithm theory, and computational complexity theory. !! In computer science and operations research, approximation algorithms are efficient algorithms that find approximate solutions to optimization problems (in particular NP-hard problems) with provable guarantees on the distance of the returned solution to the optimal one. !! Artificial imagination research uses tools and insights from many fields, including computer science, rhetoric, psychology, creative arts, philosophy, neuroscience, affective computing, Artificial Intelligence, cognitive science, linguistics, operations research, creative writing, probability and logic. !! In computer science and operations research, the bees algorithm is a population-based search algorithm which was developed by Pham, Ghanbarzadeh et al. !! The set cover problem is a classical question in combinatorics, computer science, operations research, and complexity theory. !! In computer science and operations research, a genetic algorithm (GA) is a metaheuristic inspired by the process of natural selection that belongs to the larger class of evolutionary algorithms (EA). !! Queueing theory is generally considered a branch of operations research because the results are often used when making business decisions about the resources needed to provide a service.",,,,,,,,,,,,,,,,,,,
find approximate solutions,"In computer science and operations research, approximation algorithms are efficient algorithms that find approximate solutions to optimization problems (in particular NP-hard problems) with provable guarantees on the distance of the returned solution to the optimal one.",,,,,,,,,,,,,,,,,,,
hard problems,"In computer science and operations research, approximation algorithms are efficient algorithms that find approximate solutions to optimization problems (in particular NP-hard problems) with provable guarantees on the distance of the returned solution to the optimal one.",,,,,,,,,,,,,,,,,,,
efficient algorithms,"Generic programming centers around the idea of abstracting from concrete, efficient algorithms to obtain generic algorithms that can be combined with different data representations to produce a wide variety of useful software. !! Efficient algorithms can perform inference and learning in Bayesian networks. !! The academic field and the engineering practice of computer programming are both largely concerned with discovering and implementing the most efficient algorithms for a given class of problems. !! Fast and Efficient Algorithms in Computational Electromagnetics. !! In computer science and operations research, approximation algorithms are efficient algorithms that find approximate solutions to optimization problems (in particular NP-hard problems) with provable guarantees on the distance of the returned solution to the optimal one. !! However, typical research in quantum neural networks involves combining classical artificial neural network models (which are widely used in machine learning for the important task of pattern recognition) with the advantages of quantum information in order to develop more efficient algorithms.",,,,,,,,,,,,,,,,,,,
particular np,"In computer science and operations research, approximation algorithms are efficient algorithms that find approximate solutions to optimization problems (in particular NP-hard problems) with provable guarantees on the distance of the returned solution to the optimal one.",,,,,,,,,,,,,,,,,,,
provable guarantees,"In computer science and operations research, approximation algorithms are efficient algorithms that find approximate solutions to optimization problems (in particular NP-hard problems) with provable guarantees on the distance of the returned solution to the optimal one.",,,,,,,,,,,,,,,,,,,
widely believed p np conjecture,Approximation algorithms naturally arise in the field of theoretical computer science as a consequence of the widely believed P NP conjecture.,,,,,,,,,,,,,,,,,,,
approximation algorithms naturally arise,Approximation algorithms naturally arise in the field of theoretical computer science as a consequence of the widely believed P NP conjecture.,,,,,,,,,,,,,,,,,,,
approximate optimal solutions,"The field of approximation algorithms, therefore, tries to understand how closely it is possible to approximate optimal solutions to such problems in polynomial time.",,,,,,,,,,,,,,,,,,,
additive guarantee,"However, there are also many approximation algorithms that provide an additive guarantee on the quality of the returned solution.",,,,,,,,,,,,,,,,,,,
also many approximation algorithms,"However, there are also many approximation algorithms that provide an additive guarantee on the quality of the returned solution.",,,,,,,,,,,,,,,,,,,
worst case,"Merge-insertion sort also performs fewer comparisons than the sorting numbers, which count the comparisons made by binary insertion sort or merge sort in the worst case. !! The design and analysis of approximation algorithms crucially involves a mathematical proof certifying the quality of the returned solutions in the worst case.",,,,,,,,,,,,,,,,,,,
approximation algorithms crucially involves,The design and analysis of approximation algorithms crucially involves a mathematical proof certifying the quality of the returned solutions in the worst case.,,,,,,,,,,,,,,,,,,,
mathematical proof certifying,The design and analysis of approximation algorithms crucially involves a mathematical proof certifying the quality of the returned solutions in the worst case.,,,,,,,,,,,,,,,,,,,
returned solutions,The design and analysis of approximation algorithms crucially involves a mathematical proof certifying the quality of the returned solutions in the worst case.,,,,,,,,,,,,,,,,,,,
universal communication format,Universal communication format is a communication protocol developed by the IEEE for multimedia communication.,,,,,,,,,,,,,,,,,,,
communication protocol developed,Universal communication format is a communication protocol developed by the IEEE for multimedia communication.,,,,,,,,,,,,,,,,,,,
popular modelviewcontroller architecture,"To support React's concept of unidirectional data flow (which might be contrasted with AngularJS's bidirectional flow), the Flux architecture was developed as an alternative to the popular modelviewcontroller architecture.",,,,,,,,,,,,,,,,,,,
physical movements,Molecular dynamics (MD) is a computer simulation method for analyzing the physical movements of atoms and molecules.,,,,,,,,,,,,,,,,,,,
time averages,"For systems that obey the ergodic hypothesis, the evolution of one molecular dynamics simulation may be used to determine macroscopic thermodynamic properties of the system: the time averages of an ergodic system correspond to microcanonical ensemble averages.",,,,,,,,,,,,,,,,,,,
determine macroscopic thermodynamic properties,"For systems that obey the ergodic hypothesis, the evolution of one molecular dynamics simulation may be used to determine macroscopic thermodynamic properties of the system: the time averages of an ergodic system correspond to microcanonical ensemble averages.",,,,,,,,,,,,,,,,,,,
one molecular dynamics simulation may,"For systems that obey the ergodic hypothesis, the evolution of one molecular dynamics simulation may be used to determine macroscopic thermodynamic properties of the system: the time averages of an ergodic system correspond to microcanonical ensemble averages.",,,,,,,,,,,,,,,,,,,
popular method,"The results of MD simulations can be tested through comparison to experiments that measure molecular dynamics, of which a popular method is NMR spectroscopy.",,,,,,,,,,,,,,,,,,,
md simulations,"The results of MD simulations can be tested through comparison to experiments that measure molecular dynamics, of which a popular method is NMR spectroscopy.",,,,,,,,,,,,,,,,,,,
measure molecular dynamics,"The results of MD simulations can be tested through comparison to experiments that measure molecular dynamics, of which a popular method is NMR spectroscopy.",,,,,,,,,,,,,,,,,,,
molecular mechanics,"a central embarrassment of molecular mechanics, namely that energy minimization or molecular dynamics generally leads to a model that is less like the experimental structure. """,,,,,,,,,,,,,,,,,,,
molecular dynamics generally leads,"a central embarrassment of molecular mechanics, namely that energy minimization or molecular dynamics generally leads to a model that is less like the experimental structure. """,,,,,,,,,,,,,,,,,,,
less like,"a central embarrassment of molecular mechanics, namely that energy minimization or molecular dynamics generally leads to a model that is less like the experimental structure. """,,,,,,,,,,,,,,,,,,,
energy minimization,"The conjugate gradient method can also be used to solve unconstrained optimization problems such as energy minimization. !! a central embarrassment of molecular mechanics, namely that energy minimization or molecular dynamics generally leads to a model that is less like the experimental structure. """,,,,,,,,,,,,,,,,,,,
central embarrassment,"a central embarrassment of molecular mechanics, namely that energy minimization or molecular dynamics generally leads to a model that is less like the experimental structure. """,,,,,,,,,,,,,,,,,,,
identify compounds,implemented molecular dynamics simulation to identify compounds that complement the receptor while causing minimal disruption of the conformation and flexibility of the active site.,,,,,,,,,,,,,,,,,,,
several object,"Resource acquisition is initialization (RAII) is a programming idiom used in several object-oriented, statically-typed programming languages to describe a particular language behavior.",,,,,,,,,,,,,,,,,,,
programming idiom used,"Resource acquisition is initialization (RAII) is a programming idiom used in several object-oriented, statically-typed programming languages to describe a particular language behavior.",,,,,,,,,,,,,,,,,,,
resource acquisition,"Comparing RAII with the finally construct used in Java, Stroustrup wrote that In realistic systems, there are far more resource acquisitions than kinds of resources, so the 'resource acquisition is initialization' technique leads to less code than use of a 'finally' construct. !! Resource acquisition is initialization (RAII) is a programming idiom used in several object-oriented, statically-typed programming languages to describe a particular language behavior.",,,,,,,,,,,,,,,,,,,
technique leads,"Comparing RAII with the finally construct used in Java, Stroustrup wrote that In realistic systems, there are far more resource acquisitions than kinds of resources, so the 'resource acquisition is initialization' technique leads to less code than use of a 'finally' construct.",,,,,,,,,,,,,,,,,,,
finally construct used,"Comparing RAII with the finally construct used in Java, Stroustrup wrote that In realistic systems, there are far more resource acquisitions than kinds of resources, so the 'resource acquisition is initialization' technique leads to less code than use of a 'finally' construct.",,,,,,,,,,,,,,,,,,,
nodes compete,"Competitive learning is a form of unsupervised learning in artificial neural networks, in which nodes compete for the right to respond to a subset of the input data.",,,,,,,,,,,,,,,,,,,
algorithms based,Models and algorithms based on the principle of competitive learning include vector quantization and self-organizing maps (Kohonen maps).,,,,,,,,,,,,,,,,,,,
competitive learning include vector quantization,Models and algorithms based on the principle of competitive learning include vector quantization and self-organizing maps (Kohonen maps).,,,,,,,,,,,,,,,,,,,
commonly known,Competitive Learning is usually implemented with Neural Networks that contain a hidden layer which is commonly known as competitive layer.,,,,,,,,,,,,,,,,,,,
usually implemented,"An AND gate can be designed using only N-channel (pictured) or P-channel MOSFETs, but is usually implemented with both (CMOS). !! Competitive Learning is usually implemented with Neural Networks that contain a hidden layer which is commonly known as competitive layer.",,,,,,,,,,,,,,,,,,,
find three clusters within,Here is a simple competitive learning algorithm to find three clusters within some input data.,,,,,,,,,,,,,,,,,,,
simple competitive learning algorithm,Here is a simple competitive learning algorithm to find three clusters within some input data.,,,,,,,,,,,,,,,,,,,
ensure referential integrity,"Third normal form (3NF) is a database schema design approach for relational databases which uses normalizing principles to reduce the duplication of data, avoid data anomalies, ensure referential integrity, and simplify data management.",,,,,,,,,,,,,,,,,,,
third normal form,"The negative outcome of such a design is that a doctor's number will be duplicated in the database if they have multiple patients, thus increasing both the chance of input error and the cost and risk of updating that number should it change (compared to a third normal form-compliant data model that only stores a doctor's number once on a doctor table). !! Third normal form (3NF) is a database schema design approach for relational databases which uses normalizing principles to reduce the duplication of data, avoid data anomalies, ensure referential integrity, and simplify data management. !! A database relation (e. g. a database table) is said to meet third normal form standards if all the attributes (e. g. database columns) are functionally dependent on solely the primary key. !! The third normal form (3NF) is a normal form used in database normalization. !! A hypothetical example of a failure to meet third normal form would be a hospital database having a table of patients which included a column for the telephone number of their doctor.",,,,,,,,,,,,,,,,,,,
uses normalizing principles,"Third normal form (3NF) is a database schema design approach for relational databases which uses normalizing principles to reduce the duplication of data, avoid data anomalies, ensure referential integrity, and simplify data management.",,,,,,,,,,,,,,,,,,,
database schema design approach,"Third normal form (3NF) is a database schema design approach for relational databases which uses normalizing principles to reduce the duplication of data, avoid data anomalies, ensure referential integrity, and simplify data management.",,,,,,,,,,,,,,,,,,,
avoid data anomalies,"Third normal form (3NF) is a database schema design approach for relational databases which uses normalizing principles to reduce the duplication of data, avoid data anomalies, ensure referential integrity, and simplify data management.",,,,,,,,,,,,,,,,,,,
meet third normal form standards,A database relation (e. g. a database table) is said to meet third normal form standards if all the attributes (e. g. database columns) are functionally dependent on solely the primary key.,,,,,,,,,,,,,,,,,,,
meet third normal form would,A hypothetical example of a failure to meet third normal form would be a hospital database having a table of patients which included a column for the telephone number of their doctor.,,,,,,,,,,,,,,,,,,,
telephone number,A hypothetical example of a failure to meet third normal form would be a hospital database having a table of patients which included a column for the telephone number of their doctor.,,,,,,,,,,,,,,,,,,,
doctor table,"The negative outcome of such a design is that a doctor's number will be duplicated in the database if they have multiple patients, thus increasing both the chance of input error and the cost and risk of updating that number should it change (compared to a third normal form-compliant data model that only stores a doctor's number once on a doctor table).",,,,,,,,,,,,,,,,,,,
negative outcome,"The negative outcome of such a design is that a doctor's number will be duplicated in the database if they have multiple patients, thus increasing both the chance of input error and the cost and risk of updating that number should it change (compared to a third normal form-compliant data model that only stores a doctor's number once on a doctor table).",,,,,,,,,,,,,,,,,,,
thus increasing,"The negative outcome of such a design is that a doctor's number will be duplicated in the database if they have multiple patients, thus increasing both the chance of input error and the cost and risk of updating that number should it change (compared to a third normal form-compliant data model that only stores a doctor's number once on a doctor table).",,,,,,,,,,,,,,,,,,,
multiple patients,"The negative outcome of such a design is that a doctor's number will be duplicated in the database if they have multiple patients, thus increasing both the chance of input error and the cost and risk of updating that number should it change (compared to a third normal form-compliant data model that only stores a doctor's number once on a doctor table).",,,,,,,,,,,,,,,,,,,
normal form used,The third normal form (3NF) is a normal form used in database normalization.,,,,,,,,,,,,,,,,,,,
nathan dautenhahn,"The SANDstorm hash is a cryptographic hash function designed in 2008 by Mark Torgerson, Richard Schroeppel, Tim Draelos, Nathan Dautenhahn, Sean Malone, Andrea Walker, Michael Collins, and Hilarie Orman for the NIST SHA-3 competition.",,,,,,,,,,,,,,,,,,,
cryptographic hash function designed,"The SANDstorm hash is a cryptographic hash function designed in 2008 by Mark Torgerson, Richard Schroeppel, Tim Draelos, Nathan Dautenhahn, Sean Malone, Andrea Walker, Michael Collins, and Hilarie Orman for the NIST SHA-3 competition.",,,,,,,,,,,,,,,,,,,
michael collins,"The SANDstorm hash is a cryptographic hash function designed in 2008 by Mark Torgerson, Richard Schroeppel, Tim Draelos, Nathan Dautenhahn, Sean Malone, Andrea Walker, Michael Collins, and Hilarie Orman for the NIST SHA-3 competition.",,,,,,,,,,,,,,,,,,,
tim draelos,"The SANDstorm hash is a cryptographic hash function designed in 2008 by Mark Torgerson, Richard Schroeppel, Tim Draelos, Nathan Dautenhahn, Sean Malone, Andrea Walker, Michael Collins, and Hilarie Orman for the NIST SHA-3 competition.",,,,,,,,,,,,,,,,,,,
hilarie orman,"The SANDstorm hash is a cryptographic hash function designed in 2008 by Mark Torgerson, Richard Schroeppel, Tim Draelos, Nathan Dautenhahn, Sean Malone, Andrea Walker, Michael Collins, and Hilarie Orman for the NIST SHA-3 competition.",,,,,,,,,,,,,,,,,,,
mark torgerson,"The SANDstorm hash is a cryptographic hash function designed in 2008 by Mark Torgerson, Richard Schroeppel, Tim Draelos, Nathan Dautenhahn, Sean Malone, Andrea Walker, Michael Collins, and Hilarie Orman for the NIST SHA-3 competition.",,,,,,,,,,,,,,,,,,,
