phrase,sentances
closest following free location,"When the hash function causes a collision by mapping a new key to a cell of the hash table that is already occupied by another key, linear probing searches the table for the closest following free location and inserts the new key there."
hash function causes,"When the hash function causes a collision by mapping a new key to a cell of the hash table that is already occupied by another key, linear probing searches the table for the closest following free location and inserts the new key there."
standard hardware uses linear probing,"As Thorup & Zhang (2012) write, ""Hash tables are the most commonly used nontrivial data structures, and the most popular implementation on standard hardware uses linear probing, which is both fast and simple. """
popular implementation,"As Thorup & Zhang (2012) write, ""Hash tables are the most commonly used nontrivial data structures, and the most popular implementation on standard hardware uses linear probing, which is both fast and simple. """
commonly used nontrivial data structures,"As Thorup & Zhang (2012) write, ""Hash tables are the most commonly used nontrivial data structures, and the most popular implementation on standard hardware uses linear probing, which is both fast and simple. """
provide high performance,"Linear probing can provide high performance because of its good locality of reference, but is more sensitive to the quality of its hash function than some other collision resolution schemes."
good locality,"Linear probing can provide high performance because of its good locality of reference, but is more sensitive to the quality of its hash function than some other collision resolution schemes."
quantum system,"Beyond quantum computing, the term ""quantum machine learning"" is also associated with classical machine learning methods applied to data generated from quantum experiments (i. e. machine learning of quantum systems), such as learning the phase transitions of a quantum system or creating new quantum experiments. !! Relational quantum mechanics (RQM) is an interpretation of quantum mechanics which treats the state of a quantum system as being observer-dependent, that is, the state is the relation between the observer and the system. !! Quantum simulators permit the study of quantum system in a programmable fashion."
relational quantum mechanics,"Laudisa, F. & Rovelli, C. : ""Relational Quantum Mechanics""; The Stanford Encyclopedia of Philosophy (Fall 2005 Edition), Edward N. Zalta (ed. !! Relational quantum mechanics (RQM) is an interpretation of quantum mechanics which treats the state of a quantum system as being observer-dependent, that is, the state is the relation between the observer and the system. !! Relational quantum mechanics arose from a comparison of the quandaries posed by the interpretations of quantum mechanics with those resulting from Lorentz transformations prior to the development of special relativity. !! Rovelli, C. : ""Relational Quantum Mechanics""; International Journal of Theoretical Physics 35; 1996: 1637-1678; arXiv:quant-ph/9609002. !! The assumption rejected by relational quantum mechanics is the existence of an observer-independent state of a system."
relational quantum mechanics arose,Relational quantum mechanics arose from a comparison of the quandaries posed by the interpretations of quantum mechanics with those resulting from Lorentz transformations prior to the development of special relativity.
lorentz transformations prior,Relational quantum mechanics arose from a comparison of the quandaries posed by the interpretations of quantum mechanics with those resulting from Lorentz transformations prior to the development of special relativity.
special relativity,Relational quantum mechanics arose from a comparison of the quandaries posed by the interpretations of quantum mechanics with those resulting from Lorentz transformations prior to the development of special relativity.
quandaries posed,Relational quantum mechanics arose from a comparison of the quandaries posed by the interpretations of quantum mechanics with those resulting from Lorentz transformations prior to the development of special relativity.
independent state,The assumption rejected by relational quantum mechanics is the existence of an observer-independent state of a system.
assumption rejected,The assumption rejected by relational quantum mechanics is the existence of an observer-independent state of a system.
fall 2005 edition  edward n,"Laudisa, F. & Rovelli, C. : ""Relational Quantum Mechanics""; The Stanford Encyclopedia of Philosophy (Fall 2005 Edition), Edward N. Zalta (ed."
stanford encyclopedia,"Laudisa, F. & Rovelli, C. : ""Relational Quantum Mechanics""; The Stanford Encyclopedia of Philosophy (Fall 2005 Edition), Edward N. Zalta (ed."
theoretical physics 35,"Rovelli, C. : ""Relational Quantum Mechanics""; International Journal of Theoretical Physics 35; 1996: 1637-1678; arXiv:quant-ph/9609002."
relational quantum mechanics  international journal,"Rovelli, C. : ""Relational Quantum Mechanics""; International Journal of Theoretical Physics 35; 1996: 1637-1678; arXiv:quant-ph/9609002."
turing test proposed,"The minimum intelligent signal test, or MIST, is a variation of the Turing test proposed by Chris McKinstry in which only boolean (yes/no or true/false) answers may be given to questions."
chris mckinstry,"The minimum intelligent signal test, or MIST, is a variation of the Turing test proposed by Chris McKinstry in which only boolean (yes/no or true/false) answers may be given to questions."
minimum intelligent signal test,"Open source software for performing the Minimum Intelligent Signal Test !! The minimum intelligent signal test, or MIST, is a variation of the Turing test proposed by Chris McKinstry in which only boolean (yes/no or true/false) answers may be given to questions."
answers may,"The minimum intelligent signal test, or MIST, is a variation of the Turing test proposed by Chris McKinstry in which only boolean (yes/no or true/false) answers may be given to questions."
open source software,Open source software for performing the Minimum Intelligent Signal Test
underlying fitness landscape,Evolutionary algorithms often perform well approximating solutions to all types of problems because they ideally do not make any assumption about the underlying fitness landscape.
generally limited,Techniques from evolutionary algorithms applied to the modeling of biological evolution are generally limited to explorations of microevolutionary processes and planning models based upon cellular processes.
microevolutionary processes,Techniques from evolutionary algorithms applied to the modeling of biological evolution are generally limited to explorations of microevolutionary processes and planning models based upon cellular processes.
evolutionary algorithms applied,Techniques from evolutionary algorithms applied to the modeling of biological evolution are generally limited to explorations of microevolutionary processes and planning models based upon cellular processes.
biological evolution,"Techniques from evolutionary algorithms applied to the modeling of biological evolution are generally limited to explorations of microevolutionary processes and planning models based upon cellular processes. !! In computer science, evolutionary computation is a family of algorithms for global optimization inspired by biological evolution, and the subfield of artificial intelligence and soft computing studying these algorithms."
clear genotypephenotype distinction,A possible limitation of many evolutionary algorithms is their lack of a clear genotypephenotype distinction.
many evolutionary algorithms,A possible limitation of many evolutionary algorithms is their lack of a clear genotypephenotype distinction.
possible limitation,A possible limitation of many evolutionary algorithms is their lack of a clear genotypephenotype distinction.
1996  evolutionary algorithms,"Bck, T. (1996), Evolutionary Algorithms in Theory and Practice: Evolution Strategies, Evolutionary Programming, Genetic Algorithms, Oxford Univ."
oxford univ,"Bck, T. (1996), Evolutionary Algorithms in Theory and Practice: Evolution Strategies, Evolutionary Programming, Genetic Algorithms, Oxford Univ."
partial discharges,"Hidden Markov models are known for their applications to thermodynamics, statistical mechanics, physics, chemistry, economics, finance, signal processing, information theory, pattern recognition - such as speech, handwriting, gesture recognition, part-of-speech tagging, musical score following, partial discharges and bioinformatics."
musical score following,"Hidden Markov models are known for their applications to thermodynamics, statistical mechanics, physics, chemistry, economics, finance, signal processing, information theory, pattern recognition - such as speech, handwriting, gesture recognition, part-of-speech tagging, musical score following, partial discharges and bioinformatics."
several inference problems,"Several inference problems are associated with hidden Markov models, as outlined below."
second half,"The development of the computer algebra systems in the second half of the 20th century is part of the discipline of ""computer algebra"" or ""symbolic computation"", which has spurred work in algorithms over mathematical objects such as polynomials. !! Hidden Markov models were described in a series of statistical papers by Leonard E. Baum and other authors in the second half of the 1960s."
statistical papers,Hidden Markov models were described in a series of statistical papers by Leonard E. Baum and other authors in the second half of the 1960s.
categorical distribution,"In the hidden Markov models considered above, the state space of the hidden variables is discrete, while the observations themselves can either be discrete (typically generated from a categorical distribution) or continuous (typically from a Gaussian distribution). !! In the standard type of hidden Markov model considered here, the state space of the hidden variables is discrete, while the observations themselves can either be discrete (typically generated from a categorical distribution) or continuous (typically from a Gaussian distribution)."
hidden markov models considered,"In the hidden Markov models considered above, the state space of the hidden variables is discrete, while the observations themselves can either be discrete (typically generated from a categorical distribution) or continuous (typically from a Gaussian distribution)."
typically generated,"In the hidden Markov models considered above, the state space of the hidden variables is discrete, while the observations themselves can either be discrete (typically generated from a categorical distribution) or continuous (typically from a Gaussian distribution). !! In the standard type of hidden Markov model considered here, the state space of the hidden variables is discrete, while the observations themselves can either be discrete (typically generated from a categorical distribution) or continuous (typically from a Gaussian distribution)."
allow continuous state spaces,Hidden Markov models can also be generalized to allow continuous state spaces.
security vulnerability,Cross-site scripting (XSS) is a type of security vulnerability that can be found in some web applications.
origin policy,A cross-site scripting vulnerability may be used by attackers to bypass access controls such as the same-origin policy.
site scripting vulnerability may,A cross-site scripting vulnerability may be used by attackers to bypass access controls such as the same-origin policy.
bypass access controls,A cross-site scripting vulnerability may be used by attackers to bypass access controls such as the same-origin policy.
site scripting carried,Cross-site scripting carried out on websites accounted for roughly 84% of all security vulnerabilities documented by Symantec up until 2007.
security vulnerabilities documented,Cross-site scripting carried out on websites accounted for roughly 84% of all security vulnerabilities documented by Symantec up until 2007.
websites accounted,Cross-site scripting carried out on websites accounted for roughly 84% of all security vulnerabilities documented by Symantec up until 2007.
based applications,"Cross-site scripting attacks use known vulnerabilities in web-based applications, their servers, or the plug-in systems on which they rely. !! Today most geometric modeling is done with computers and for computer-based applications."
code injection,Cross-site scripting attacks are a case of code injection.
site scripting attacks,Cross-site scripting attacks are a case of code injection.
improve performance,"The breakdown of Dennard scaling and resulting inability to increase clock frequencies significantly has caused most CPU manufacturers to focus on multicore processors as an alternative way to improve performance. !! To improve performance, priority queues are typically based on a heap, giving O(log n) performance for inserts and removals, and O(n) to build the heap initially from a set of n elements. !! Differentiable neural computers are an outgrowth of Neural Turing machines, with attention mechanisms that control where the memory is active, and improve performance."
whether neurons use rate coding,"Whether neurons use rate coding or temporal coding is a topic of intense debate within the neuroscience community, even though there is no clear definition of what these terms mean."
intense debate within,"Whether neurons use rate coding or temporal coding is a topic of intense debate within the neuroscience community, even though there is no clear definition of what these terms mean."
neuroscience community,"Whether neurons use rate coding or temporal coding is a topic of intense debate within the neuroscience community, even though there is no clear definition of what these terms mean."
terms mean,"Whether neurons use rate coding or temporal coding is a topic of intense debate within the neuroscience community, even though there is no clear definition of what these terms mean."
clear definition,"Whether neurons use rate coding or temporal coding is a topic of intense debate within the neuroscience community, even though there is no clear definition of what these terms mean."
alternate explanation,"Temporal coding supplies an alternate explanation for the noise,"" suggesting that it actually encodes information and affects neural processing."
affects neural processing,"Temporal coding supplies an alternate explanation for the noise,"" suggesting that it actually encodes information and affects neural processing."
noise  suggesting,"Temporal coding supplies an alternate explanation for the noise,"" suggesting that it actually encodes information and affects neural processing."
temporal coding supplies,"Temporal coding supplies an alternate explanation for the noise,"" suggesting that it actually encodes information and affects neural processing."
actually encodes information,"Temporal coding supplies an alternate explanation for the noise,"" suggesting that it actually encodes information and affects neural processing."
mean something different,"Temporal coding allows the sequence 000111000111 to mean something different from 001100110011, even though the mean firing rate is the same for both sequences."
mean firing rate,"Temporal coding allows the sequence 000111000111 to mean something different from 001100110011, even though the mean firing rate is the same for both sequences."
temporal coding allows,"Temporal coding allows the sequence 000111000111 to mean something different from 001100110011, even though the mean firing rate is the same for both sequences."
dependent synaptic delay modifications,"In temporal coding, learning can be explained by activity-dependent synaptic delay modifications."
dependent plasticity,"The modifications can themselves depend on spike timing patterns (temporal coding), i. e. , can be a special case of spike-timing-dependent plasticity."
spike timing patterns,"The modifications can themselves depend on spike timing patterns (temporal coding), i. e. , can be a special case of spike-timing-dependent plasticity."
unchangeable object,"In object-oriented and functional programming, an immutable object (unchangeable object) is an object whose state cannot be modified after it is created."
immutable object,"In object-oriented programming, ""immutable interface"" is a pattern for designing an immutable object. !! Strings and other concrete objects are typically expressed as immutable objects to improve readability and runtime efficiency in object-oriented programming. !! In object-oriented and functional programming, an immutable object (unchangeable object) is an object whose state cannot be modified after it is created. !! Immutable objects are also useful because they are inherently thread-safe. !! For example, an object that uses memoization to cache the results of expensive computations could still be considered an immutable object. !! A technique that blends the advantages of mutable and immutable objects, and is supported directly in almost all modern hardware, is copy-on-write (COW)."
object whose state cannot,"In object-oriented and functional programming, an immutable object (unchangeable object) is an object whose state cannot be modified after it is created."
uses memoization,"For example, an object that uses memoization to cache the results of expensive computations could still be considered an immutable object."
expensive computations could still,"For example, an object that uses memoization to cache the results of expensive computations could still be considered an immutable object."
typically expressed,"Runtime verification specifications are typically expressed in trace predicate formalisms, such as finite state machines, regular expressions, context-free patterns, linear temporal logics, etc. !! Strings and other concrete objects are typically expressed as immutable objects to improve readability and runtime efficiency in object-oriented programming."
improve readability,Strings and other concrete objects are typically expressed as immutable objects to improve readability and runtime efficiency in object-oriented programming.
concrete objects,"In normal usage, the client software creates a concrete implementation of the abstract factory and then uses the generic interface of the factory to create the concrete objects that are part of the theme. !! Strings and other concrete objects are typically expressed as immutable objects to improve readability and runtime efficiency in object-oriented programming."
also useful,"Immutable objects are also useful because they are inherently thread-safe. !! Brute-force search is also useful as a baseline method when benchmarking other algorithms or metaheuristics. !! "":xxvii,30 Beyond the digital aspect, interaction design is also useful when creating physical (non-digital) products, exploring how a user might interact with it."
inherently thread,Immutable objects are also useful because they are inherently thread-safe.
supported directly,"A technique that blends the advantages of mutable and immutable objects, and is supported directly in almost all modern hardware, is copy-on-write (COW)."
modern hardware,"A technique that blends the advantages of mutable and immutable objects, and is supported directly in almost all modern hardware, is copy-on-write (COW)."
enforce technical standards,"A software architect is a software development expert who makes high-level design choices and tries to enforce technical standards, including software coding standards, tools, and platforms."
level design choices,"A software architect is a software development expert who makes high-level design choices and tries to enforce technical standards, including software coding standards, tools, and platforms."
including software coding standards,"A software architect is a software development expert who makes high-level design choices and tries to enforce technical standards, including software coding standards, tools, and platforms."
makes high,"A software architect is a software development expert who makes high-level design choices and tries to enforce technical standards, including software coding standards, tools, and platforms."
software development expert,"A software architect is a software development expert who makes high-level design choices and tries to enforce technical standards, including software coding standards, tools, and platforms."
software architect concept began,"The software architect concept began to take hold when object-oriented programming or OOP, was coming into more widespread use (in the late 1990s and early years of the 21st century)."
early years,"The software architect concept began to take hold when object-oriented programming or OOP, was coming into more widespread use (in the late 1990s and early years of the 21st century)."
widespread use,"The term ""digital identity"" also denotes certain aspects of civil and personal identity that have resulted from the widespread use of identity information to represent people in an acceptable and trusted digital format in computer systems. !! The software architect concept began to take hold when object-oriented programming or OOP, was coming into more widespread use (in the late 1990s and early years of the 21st century)."
take hold,"The software architect concept began to take hold when object-oriented programming or OOP, was coming into more widespread use (in the late 1990s and early years of the 21st century)."
21st century,"The software architect concept began to take hold when object-oriented programming or OOP, was coming into more widespread use (in the late 1990s and early years of the 21st century)."
international association,International Association of Software Architects (IASA)
efficient slink,"ELKI includes multiple hierarchical clustering algorithms, various linkage strategies and also includes the efficient SLINK, CLINK and Anderberg algorithms, flexible cluster extraction from dendrograms and various other cluster analysis algorithms."
also includes,"ELKI includes multiple hierarchical clustering algorithms, various linkage strategies and also includes the efficient SLINK, CLINK and Anderberg algorithms, flexible cluster extraction from dendrograms and various other cluster analysis algorithms."
various linkage strategies,"ELKI includes multiple hierarchical clustering algorithms, various linkage strategies and also includes the efficient SLINK, CLINK and Anderberg algorithms, flexible cluster extraction from dendrograms and various other cluster analysis algorithms."
complex number storage,Some programming languages provide a complex data type for complex number storage and arithmetic as a built-in (primitive) data type.
complex data type,"Languages that support a complex data type usually provide special syntax for building such values, and extend the basic arithmetic operations ('+', '', '', '') to act on them. !! The C99 standard of the C programming language includes complex data types and complex-math functions in the standard library header <complex. !! In some programming environments the term complex data type (in contrast to primitive data types) is a synonym for the composite data type. !! Some programming languages provide a complex data type for complex number storage and arithmetic as a built-in (primitive) data type."
basic arithmetic operations,"Languages that support a complex data type usually provide special syntax for building such values, and extend the basic arithmetic operations ('+', '', '', '') to act on them."
math functions,The C99 standard of the C programming language includes complex data types and complex-math functions in the standard library header <complex.
standard library header,The C99 standard of the C programming language includes complex data types and complex-math functions in the standard library header <complex.
normalized compression distance,"Normalized compression distance (NCD) is a way of measuring the similarity between two objects, be it two documents, two letters, two emails, two music scores, two languages, two programs, two pictures, two systems, two genomes, to name a few. !! The normalized compression distance has been used to fully automatically reconstruct language and phylogenetic trees."
two programs,"Normalized compression distance (NCD) is a way of measuring the similarity between two objects, be it two documents, two letters, two emails, two music scores, two languages, two programs, two pictures, two systems, two genomes, to name a few. !! The functional principle is similar to the one SDL Trados, XTM and memoQ feature: Just like the server solutions of these two programs, Across Language Server also saves translation units or terminology entries (depending on the project's configuration) into a local or a central MSSQL database."
two languages,"Normalized compression distance (NCD) is a way of measuring the similarity between two objects, be it two documents, two letters, two emails, two music scores, two languages, two programs, two pictures, two systems, two genomes, to name a few."
two systems,"Normalized compression distance (NCD) is a way of measuring the similarity between two objects, be it two documents, two letters, two emails, two music scores, two languages, two programs, two pictures, two systems, two genomes, to name a few."
two objects,"Normalized compression distance (NCD) is a way of measuring the similarity between two objects, be it two documents, two letters, two emails, two music scores, two languages, two programs, two pictures, two systems, two genomes, to name a few."
two pictures,"Normalized compression distance (NCD) is a way of measuring the similarity between two objects, be it two documents, two letters, two emails, two music scores, two languages, two programs, two pictures, two systems, two genomes, to name a few."
two music scores,"Normalized compression distance (NCD) is a way of measuring the similarity between two objects, be it two documents, two letters, two emails, two music scores, two languages, two programs, two pictures, two systems, two genomes, to name a few."
two genomes,"Normalized compression distance (NCD) is a way of measuring the similarity between two objects, be it two documents, two letters, two emails, two music scores, two languages, two programs, two pictures, two systems, two genomes, to name a few."
two emails,"Normalized compression distance (NCD) is a way of measuring the similarity between two objects, be it two documents, two letters, two emails, two music scores, two languages, two programs, two pictures, two systems, two genomes, to name a few."
two letters,"Normalized compression distance (NCD) is a way of measuring the similarity between two objects, be it two documents, two letters, two emails, two music scores, two languages, two programs, two pictures, two systems, two genomes, to name a few."
two documents,"Normalized compression distance (NCD) is a way of measuring the similarity between two objects, be it two documents, two letters, two emails, two music scores, two languages, two programs, two pictures, two systems, two genomes, to name a few."
phylogenetic trees,The normalized compression distance has been used to fully automatically reconstruct language and phylogenetic trees.
fully automatically reconstruct language,The normalized compression distance has been used to fully automatically reconstruct language and phylogenetic trees.
takes input,A human interface device or HID is a type of computer device usually used by humans that takes input from humans and gives output to humans.
computer device usually used,A human interface device or HID is a type of computer device usually used by humans that takes input from humans and gives output to humans.
gives output,A human interface device or HID is a type of computer device usually used by humans that takes input from humans and gives output to humans.
human interface device,The working group was renamed as the Human Interface Device class at the suggestion of Tom Schmidt of DEC because the proposed standard supported bi-directional communication. !! The USB human interface device class describes a USB HID. !! A human interface device or HID is a type of computer device usually used by humans that takes input from humans and gives output to humans.
working group,"The working group was renamed as the Human Interface Device class at the suggestion of Tom Schmidt of DEC because the proposed standard supported bi-directional communication. !! The BOF session in December 1996 showed sufficient interest in developing a printing protocol, leading to the creation of the IETF Internet Printing Protocol (ipp) working group, which concluded in 2005."
human interface device class,The working group was renamed as the Human Interface Device class at the suggestion of Tom Schmidt of DEC because the proposed standard supported bi-directional communication.
proposed standard supported bi,The working group was renamed as the Human Interface Device class at the suggestion of Tom Schmidt of DEC because the proposed standard supported bi-directional communication.
directional communication,The working group was renamed as the Human Interface Device class at the suggestion of Tom Schmidt of DEC because the proposed standard supported bi-directional communication.
tom schmidt,The working group was renamed as the Human Interface Device class at the suggestion of Tom Schmidt of DEC because the proposed standard supported bi-directional communication.
usb hid,The USB human interface device class describes a USB HID.
mountain car problem,"The mountain car problem appeared first in Andrew Moore's PhD Thesis (1990). !! The mountain car problem has undergone many iterations. !! The mountain car problem, although fairly simple, is commonly applied because it requires a reinforcement learning agent to learn on two continuous variables: position and velocity."
two continuous variables,"The mountain car problem, although fairly simple, is commonly applied because it requires a reinforcement learning agent to learn on two continuous variables: position and velocity."
although fairly simple,"The mountain car problem, although fairly simple, is commonly applied because it requires a reinforcement learning agent to learn on two continuous variables: position and velocity."
mountain car problem appeared first,The mountain car problem appeared first in Andrew Moore's PhD Thesis (1990).
phd thesis,The mountain car problem appeared first in Andrew Moore's PhD Thesis (1990).
andrew moore,The mountain car problem appeared first in Andrew Moore's PhD Thesis (1990).
undergone many iterations,The mountain car problem has undergone many iterations.
streaming service,"In October 2021, Quebecor Content acquired exclusive French Canadian rights to Peacock Original programming for its streaming service, Club Illico. !! Peacock is an American over-the-top video streaming service owned and operated by the Television and Streaming division of NBCUniversal, a subsidiary of Comcast. !! This move also included new original programming, NBCU property reboots, while NBC series The Office and Parks and Recreation were taken off rival streaming services Netflix, Hulu, and Amazon Prime Video and joined the service once their exclusive streaming rights to rival streaming services expired, with Parks and Recreation joining in October 2020 and The Office joining in January 2021. !! This included the launch of an over-the-top streaming service, named ""Peacock"" and made available in April 2020. !! On January 25, 2021, NBCUniversal, which already televised WWE's weekly programs Raw and NXT on USA Network, acquired the exclusive U. S. distribution rights to the WWE Network streaming service beginning March 18, 2021."
streaming division,"Peacock is an American over-the-top video streaming service owned and operated by the Television and Streaming division of NBCUniversal, a subsidiary of Comcast."
top video streaming service owned,"Peacock is an American over-the-top video streaming service owned and operated by the Television and Streaming division of NBCUniversal, a subsidiary of Comcast."
top streaming service,"This included the launch of an over-the-top streaming service, named ""Peacock"" and made available in April 2020."
made available,"Social translucence mechanisms have been made available in many web 2. !! This included the launch of an over-the-top streaming service, named ""Peacock"" and made available in April 2020."
rival streaming services expired,"This move also included new original programming, NBCU property reboots, while NBC series The Office and Parks and Recreation were taken off rival streaming services Netflix, Hulu, and Amazon Prime Video and joined the service once their exclusive streaming rights to rival streaming services expired, with Parks and Recreation joining in October 2020 and The Office joining in January 2021."
recreation joining,"This move also included new original programming, NBCU property reboots, while NBC series The Office and Parks and Recreation were taken off rival streaming services Netflix, Hulu, and Amazon Prime Video and joined the service once their exclusive streaming rights to rival streaming services expired, with Parks and Recreation joining in October 2020 and The Office joining in January 2021."
amazon prime video,"This move also included new original programming, NBCU property reboots, while NBC series The Office and Parks and Recreation were taken off rival streaming services Netflix, Hulu, and Amazon Prime Video and joined the service once their exclusive streaming rights to rival streaming services expired, with Parks and Recreation joining in October 2020 and The Office joining in January 2021."
exclusive streaming rights,"This move also included new original programming, NBCU property reboots, while NBC series The Office and Parks and Recreation were taken off rival streaming services Netflix, Hulu, and Amazon Prime Video and joined the service once their exclusive streaming rights to rival streaming services expired, with Parks and Recreation joining in October 2020 and The Office joining in January 2021."
rival streaming services netflix,"This move also included new original programming, NBCU property reboots, while NBC series The Office and Parks and Recreation were taken off rival streaming services Netflix, Hulu, and Amazon Prime Video and joined the service once their exclusive streaming rights to rival streaming services expired, with Parks and Recreation joining in October 2020 and The Office joining in January 2021."
office joining,"This move also included new original programming, NBCU property reboots, while NBC series The Office and Parks and Recreation were taken off rival streaming services Netflix, Hulu, and Amazon Prime Video and joined the service once their exclusive streaming rights to rival streaming services expired, with Parks and Recreation joining in October 2020 and The Office joining in January 2021."
nbc series,"This move also included new original programming, NBCU property reboots, while NBC series The Office and Parks and Recreation were taken off rival streaming services Netflix, Hulu, and Amazon Prime Video and joined the service once their exclusive streaming rights to rival streaming services expired, with Parks and Recreation joining in October 2020 and The Office joining in January 2021."
nbcu property reboots,"This move also included new original programming, NBCU property reboots, while NBC series The Office and Parks and Recreation were taken off rival streaming services Netflix, Hulu, and Amazon Prime Video and joined the service once their exclusive streaming rights to rival streaming services expired, with Parks and Recreation joining in October 2020 and The Office joining in January 2021."
weekly programs raw,"On January 25, 2021, NBCUniversal, which already televised WWE's weekly programs Raw and NXT on USA Network, acquired the exclusive U. S. distribution rights to the WWE Network streaming service beginning March 18, 2021."
usa network,"On January 25, 2021, NBCUniversal, which already televised WWE's weekly programs Raw and NXT on USA Network, acquired the exclusive U. S. distribution rights to the WWE Network streaming service beginning March 18, 2021."
already televised wwe,"On January 25, 2021, NBCUniversal, which already televised WWE's weekly programs Raw and NXT on USA Network, acquired the exclusive U. S. distribution rights to the WWE Network streaming service beginning March 18, 2021."
distribution rights,"On January 25, 2021, NBCUniversal, which already televised WWE's weekly programs Raw and NXT on USA Network, acquired the exclusive U. S. distribution rights to the WWE Network streaming service beginning March 18, 2021."
peacock original programming,"In October 2021, Quebecor Content acquired exclusive French Canadian rights to Peacock Original programming for its streaming service, Club Illico."
club illico,"In October 2021, Quebecor Content acquired exclusive French Canadian rights to Peacock Original programming for its streaming service, Club Illico."
errors introduced thereby,"In mathematics, approximation theory is concerned with how functions can best be approximated with simpler functions, and with quantitatively characterizing the errors introduced thereby."
quantitatively characterizing,"In mathematics, approximation theory is concerned with how functions can best be approximated with simpler functions, and with quantitatively characterizing the errors introduced thereby."
simpler functions,"In mathematics, approximation theory is concerned with how functions can best be approximated with simpler functions, and with quantitatively characterizing the errors introduced thereby."
bernstein  birkhauser,"K. -G. Steffens, ""The History of Approximation Theory: From Euler to Bernstein,"" Birkhauser, Boston 2006 ISBN 0-8176-4353-2."
boston 2006 isbn 0,"K. -G. Steffens, ""The History of Approximation Theory: From Euler to Bernstein,"" Birkhauser, Boston 2006 ISBN 0-8176-4353-2."
approximation practice  siam 2013,"L. N. Trefethen, ""Approximation theory and approximation practice"", SIAM 2013."
demographically similar people,A focus group is a group interview involving a small number of demographically similar people or participants who have other common traits/experiences.
common traits,A focus group is a group interview involving a small number of demographically similar people or participants who have other common traits/experiences.
focus group,"A focus group is also used by sociologists, psychologists, and researchers in communication studies, education, political science, and public health. !! A focus group is a group interview involving a small number of demographically similar people or participants who have other common traits/experiences. !! In market research, focus groups can explore a group's response to a new product or service. !! Focus groups are used in market research to understand better people's reactions to products or services or participants' perceptions of shared experiences. !! Thus, focus groups constitute a research or evaluation method that researchers organize to collect qualitative data through interactive and directed discussions."
group interview involving,A focus group is a group interview involving a small number of demographically similar people or participants who have other common traits/experiences.
market research,"In market research, focus groups can explore a group's response to a new product or service. !! Web analytics is not just a process for measuring web traffic but can be used as a tool for business and market research and assess and improve website effectiveness. !! Focus groups are used in market research to understand better people's reactions to products or services or participants' perceptions of shared experiences."
understand better people,Focus groups are used in market research to understand better people's reactions to products or services or participants' perceptions of shared experiences.
shared experiences,Focus groups are used in market research to understand better people's reactions to products or services or participants' perceptions of shared experiences.
focus groups,"In market research, focus groups can explore a group's response to a new product or service. !! Focus groups are used in market research to understand better people's reactions to products or services or participants' perceptions of shared experiences."
new product,"In market research, focus groups can explore a group's response to a new product or service."
collect qualitative data,"Thus, focus groups constitute a research or evaluation method that researchers organize to collect qualitative data through interactive and directed discussions."
directed discussions,"Thus, focus groups constitute a research or evaluation method that researchers organize to collect qualitative data through interactive and directed discussions."
focus groups constitute,"Thus, focus groups constitute a research or evaluation method that researchers organize to collect qualitative data through interactive and directed discussions."
researchers organize,"Thus, focus groups constitute a research or evaluation method that researchers organize to collect qualitative data through interactive and directed discussions."
evaluation method,"Thus, focus groups constitute a research or evaluation method that researchers organize to collect qualitative data through interactive and directed discussions."
public health,"A focus group is also used by sociologists, psychologists, and researchers in communication studies, education, political science, and public health."
political science,"Argument technology has applications in a variety of domains, including education, healthcare, policy making, political science, intelligence analysis and risk management and has a variety of sub-fields, methodologies and technologies. !! A focus group is also used by sociologists, psychologists, and researchers in communication studies, education, political science, and public health."
finite simple graph,"In the special case of a finite simple graph, the adjacency matrix is a (0,1)-matrix with zeros on its diagonal."
contains information,"The adjacency matrix of a graph should be distinguished from its incidence matrix, a different matrix representation whose elements indicate whether vertexedge pairs are incident or not, and its degree matrix, which contains information about the degree of each vertex. !! The status register is a hardware register that contains information about the state of the processor."
distributed among two,"In theoretical computer science, communication complexity studies the amount of communication required to solve a problem when the input to the problem is distributed among two or more parties."
communication required,"In theoretical computer science, communication complexity studies the amount of communication required to solve a problem when the input to the problem is distributed among two or more parties."
communication complexity,"The study of communication complexity was first introduced by Andrew Yao in 1979, while studying the problem of computation distributed among several machines. !! answers this question by defining randomized communication complexity. !! This abstract problem with two parties (called two-party communication complexity), and its general form with more than two parties, is relevant in many contexts. !! Note that, unlike in computational complexity theory, communication complexity is not concerned with the amount of computation performed by Alice or Bob, or the size of the memory used, as we generally assume nothing about the computational power of either Alice or Bob. !! In theoretical computer science, communication complexity studies the amount of communication required to solve a problem when the input to the problem is distributed among two or more parties."
communication complexity studies,"In theoretical computer science, communication complexity studies the amount of communication required to solve a problem when the input to the problem is distributed among two or more parties."
andrew yao,"The study of communication complexity was first introduced by Andrew Yao in 1979, while studying the problem of computation distributed among several machines."
computation distributed among several machines,"The study of communication complexity was first introduced by Andrew Yao in 1979, while studying the problem of computation distributed among several machines."
memory used,"Note that, unlike in computational complexity theory, communication complexity is not concerned with the amount of computation performed by Alice or Bob, or the size of the memory used, as we generally assume nothing about the computational power of either Alice or Bob."
