Phrase,Probablity,Attention
distributed search,0.4513170123100281,"0.0003, 0.2366, 0.5033, 0.1746, 0.0852"
semantic predicates,0.49224597215652466,"0.0005, 0.0628, 0.6167, 0.2004, 0.1197"
outer node,0.44740521907806396,"0.0091, 0.0013, 0.5292, 0.2983, 0.1621"
simple directed graphs,0.04798734188079834,"0.9908, 0.0010, 0.0010, 0.0050, 0.0022"
spatial relations,0.3718028664588928,"0.0111, 0.0186, 0.6939, 0.1899, 0.0864"
electronic signature,0.04761379957199097,"0.4369, 0.5264, 0.0285, 0.0061, 0.0021"
traditional convolutional layers,0.4095269441604614,"0.0000, 0.0012, 0.8094, 0.1496, 0.0398"
amd accelerated processing units,0.42297056317329407,"0.0003, 0.0068, 0.0003, 0.7904, 0.2022"
computationally intractable,0.16918209195137024,"0.0001, 0.9979, 0.0013, 0.0004, 0.0002"
primitive recursive,0.49013325572013855,"0.0025, 0.0098, 0.4185, 0.3091, 0.2601"
distance metric,0.45469459891319275,"0.0004, 0.9554, 0.0415, 0.0026, 0.0002"
industrial design,0.3273129463195801,"0.0300, 0.1810, 0.4911, 0.1894, 0.1086"
recursively dividing,0.45187437534332275,"0.0001, 0.3559, 0.3926, 0.1602, 0.0911"
flow analysis,0.3716040253639221,"0.9390, 0.0327, 0.0190, 0.0054, 0.0039"
graph exploration,0.47375017404556274,"0.0000, 0.6974, 0.1719, 0.0756, 0.0551"
global solutions,0.13440930843353271,"0.0015, 0.2738, 0.5712, 0.1251, 0.0284"
streaming text,0.44970864057540894,"0.7619, 0.0611, 0.1121, 0.0427, 0.0221"
fast fourier transform,0.13692757487297058,"0.8281, 0.0906, 0.0781, 0.0031, 0.0002"
encryption keys,0.4430510401725769,"0.0154, 0.2698, 0.3379, 0.2226, 0.1543"
industrial protocol,0.32976335287094116,"0.8371, 0.0109, 0.0467, 0.0466, 0.0588"
input operands,0.21649077534675598,"0.4301, 0.4505, 0.0625, 0.0325, 0.0244"
design problem,0.4274201989173889,"0.0022, 0.1281, 0.5272, 0.2190, 0.1235"
compressed sensing,0.4783160388469696,"0.0003, 0.9615, 0.0275, 0.0077, 0.0031"
primitive data types,0.20917096734046936,"0.0000, 0.0011, 0.9838, 0.0126, 0.0025"
least linear,0.26209700107574463,"0.9974, 0.0003, 0.0011, 0.0006, 0.0007"
signal generation,0.2975388169288635,"0.0827, 0.2794, 0.4643, 0.1278, 0.0459"
conceptual design discipline,0.49107295274734497,"0.0367, 0.0105, 0.0045, 0.6105, 0.3378"
random vectors,0.42106908559799194,"0.0001, 0.0012, 0.4300, 0.3467, 0.2220"
local minimum,0.13198259472846985,"0.0219, 0.9657, 0.0113, 0.0010, 0.0001"
computational resources,0.31057751178741455,"0.0001, 0.9235, 0.0407, 0.0205, 0.0151"
medical imaging,0.04920196533203125,"0.8605, 0.1394, 0.0001, 0.0000, 0.0000"
bounded flat surface,0.11627578735351562,"0.0004, 0.0033, 0.5242, 0.4119, 0.0602"
online information,0.15130385756492615,"0.8876, 0.0635, 0.0232, 0.0121, 0.0137"
schwartzian transform,0.4457567632198334,"0.0172, 0.4370, 0.2703, 0.1584, 0.1172"
multiplexing technique,0.2344481348991394,"0.0052, 0.3425, 0.4299, 0.1515, 0.0709"
star network,0.3334925174713135,"0.9980, 0.0011, 0.0004, 0.0003, 0.0003"
ipv6 address pool,0.3111587166786194,"0.0011, 0.0112, 0.7255, 0.1393, 0.1229"
memory sharing,0.4341411590576172,"0.0075, 0.5493, 0.0941, 0.1159, 0.2332"
error monitoring,0.4176216125488281,"0.0002, 0.9824, 0.0128, 0.0034, 0.0013"
lookahead carry unit,0.1410866379737854,"0.0041, 0.0525, 0.3518, 0.5472, 0.0444"
gated recurrent units,0.48037949204444885,"0.0017, 0.0315, 0.5312, 0.3397, 0.0958"
dma attack,0.3040708303451538,"0.0109, 0.2162, 0.4179, 0.2272, 0.1278"
statistical properties,0.44522732496261597,"0.0406, 0.0401, 0.5648, 0.2239, 0.1307"
embedded systems,0.4382048547267914,"0.6761, 0.0087, 0.0789, 0.0970, 0.1393"
complex hermitian matrices,0.41858717799186707,"0.0329, 0.0004, 0.0109, 0.6403, 0.3155"
symbolic artificial intelligence,0.3352428674697876,"0.8084, 0.0086, 0.0059, 0.1022, 0.0749"
computational materials science,0.335837721824646,"0.0000, 0.0067, 0.6377, 0.2985, 0.0570"
compound logic gates,0.34458041191101074,"0.0018, 0.0002, 0.5668, 0.3211, 0.1101"
biologically inspired computing,0.16497734189033508,"0.1494, 0.8477, 0.0004, 0.0017, 0.0009"
global minimum,0.2426600456237793,"0.0050, 0.9675, 0.0231, 0.0038, 0.0006"
noise ratio,0.38149788975715637,"0.5243, 0.2511, 0.1463, 0.0530, 0.0253"
squared euclidean distances,0.24553197622299194,"0.0125, 0.0011, 0.9541, 0.0301, 0.0021"
numerical operations,0.22739240527153015,"0.0030, 0.0456, 0.6985, 0.1914, 0.0615"
data transfer,0.4695676267147064,"0.3364, 0.5731, 0.0326, 0.0248, 0.0331"
first-order reduction,0.3131311535835266,"0.0128, 0.2347, 0.4592, 0.1949, 0.0984"
reduction systems,0.3225419521331787,"0.7643, 0.0191, 0.0995, 0.0654, 0.0518"
arbitrary data structures,0.38449010252952576,"0.0011, 0.0125, 0.1011, 0.7691, 0.1162"
data differencing,0.40648341178894043,"0.0052, 0.8355, 0.0921, 0.0366, 0.0306"
fully recurrent neural networks,0.3764878511428833,"0.9999, 0.0001, 0.0000, 0.0000, 0.0000"
inverse direction,0.4841371476650238,"0.0252, 0.1303, 0.4137, 0.2421, 0.1886"
analog signal,0.4153359532356262,"0.2230, 0.5590, 0.1672, 0.0395, 0.0113"
output label,0.4723447263240814,"0.0216, 0.0166, 0.6603, 0.2089, 0.0927"
cost allocation,0.3277338743209839,"0.3941, 0.0020, 0.2588, 0.1966, 0.1485"
compiler correctness,0.49821245670318604,"0.0000, 0.2959, 0.2191, 0.2082, 0.2767"
soft decision viterbi decoders,0.05120176076889038,"0.7214, 0.2553, 0.0034, 0.0004, 0.0194"
training set,0.3016290068626404,"0.8467, 0.0935, 0.0470, 0.0098, 0.0029"
database indexing technique,0.4725313186645508,"0.0000, 0.0005, 0.4769, 0.3847, 0.1380"
advanced message queuing protocol,0.01981368660926819,"0.9943, 0.0053, 0.0004, 0.0000, 0.0000"
finite state machines,0.10295814275741577,"0.1522, 0.0027, 0.7106, 0.1210, 0.0134"
copyright investigation,0.3752674162387848,"0.0193, 0.5081, 0.2214, 0.1309, 0.1203"
learning state,0.3594341278076172,"0.3361, 0.2097, 0.2167, 0.1194, 0.1181"
de morgan's law,0.00035390257835388184,"0.9534, 0.0446, 0.0001, 0.0015, 0.0004"
big data,0.17146006226539612,"0.6198, 0.3297, 0.0463, 0.0036, 0.0007"
logical security boundaries,0.4785756468772888,"0.0726, 0.0024, 0.1675, 0.5262, 0.2313"
spatial multiplexing,0.4731464087963104,"0.2742, 0.1443, 0.2452, 0.1886, 0.1476"
universal approximation theorem,0.3619149625301361,"0.0269, 0.0149, 0.0088, 0.7071, 0.2423"
abstract machines,0.4589202404022217,"0.0003, 0.4918, 0.3190, 0.1196, 0.0692"
character sets,0.49657145142555237,"0.0010, 0.0212, 0.5743, 0.2527, 0.1507"
logical expressions,0.47961530089378357,"0.0003, 0.0296, 0.6895, 0.1977, 0.0829"
labeled training data,0.3105286955833435,"0.2334, 0.6597, 0.0946, 0.0114, 0.0010"
discrete mathematics,0.2801356315612793,"0.0036, 0.1283, 0.7030, 0.1362, 0.0288"
fibonacci search technique,0.12212353944778442,"0.0000, 0.0247, 0.7338, 0.2112, 0.0303"
right stochastic matrix,0.2908753752708435,"0.9932, 0.0000, 0.0000, 0.0030, 0.0037"
mathematical duality,0.22962364554405212,"0.0273, 0.3428, 0.4860, 0.1090, 0.0348"
boosting methods,0.43128037452697754,"0.8932, 0.0633, 0.0319, 0.0086, 0.0031"
time complexity,0.40004369616508484,"0.0010, 0.0916, 0.6604, 0.1804, 0.0666"
statistical mechanics,0.3916132152080536,"0.5314, 0.2001, 0.1617, 0.0685, 0.0383"
combinatorial explosion,0.08334839344024658,"0.0000, 0.9934, 0.0052, 0.0010, 0.0004"
graph minor theory,0.1003747284412384,"0.0002, 0.9421, 0.0038, 0.0379, 0.0161"
grading sentiment analysis,0.34888142347335815,"0.1180, 0.5731, 0.1189, 0.1376, 0.0523"
mathematical framework,0.4811646342277527,"0.3962, 0.1954, 0.2323, 0.1017, 0.0744"
hardware links,0.37337711453437805,"0.4463, 0.2751, 0.1432, 0.0831, 0.0522"
phase distinction,0.005842298269271851,"0.0002, 0.9809, 0.0176, 0.0011, 0.0002"
environmental prediction,0.3069552481174469,"0.9885, 0.0025, 0.0026, 0.0024, 0.0040"
artificial intelligent agents,0.4920714199542999,"0.0014, 0.0110, 0.1408, 0.4245, 0.4223"
real numbers,0.24833866953849792,"0.0619, 0.1211, 0.5954, 0.1636, 0.0580"
active networking,0.4683827757835388,"0.9619, 0.0114, 0.0149, 0.0074, 0.0045"
information system,0.21134766936302185,"0.9460, 0.0043, 0.0089, 0.0128, 0.0281"
temporal coupling,0.3585939407348633,"0.0469, 0.2018, 0.3789, 0.2111, 0.1613"
unified modelling language,0.39917314052581787,"0.2510, 0.0020, 0.0041, 0.5290, 0.2139"
functional arguments,0.35218364000320435,"0.0036, 0.0529, 0.6219, 0.2298, 0.0918"
imperative quantum programming languages,0.4234732985496521,"0.2060, 0.0003, 0.0000, 0.0128, 0.7809"
bit bashing,0.43750977516174316,"0.0496, 0.0210, 0.3960, 0.3042, 0.2293"
function join,0.07490721344947815,"0.0000, 0.9901, 0.0069, 0.0021, 0.0010"
static  pure spatial patterns,0.41985130310058594,"0.0000, 0.0007, 0.9759, 0.0118, 0.0116"
internet addressing structure,0.240044504404068,"0.0001, 0.0024, 0.0925, 0.7848, 0.1202"
modern deep learning models,0.28532591462135315,"0.0494, 0.7906, 0.1536, 0.0035, 0.0029"
radial functions,0.30675193667411804,"0.0092, 0.0010, 0.5959, 0.2742, 0.1197"
significant digits,0.0053660571575164795,"0.9941, 0.0056, 0.0003, 0.0000, 0.0000"
software requirements analysis,0.47497913241386414,"0.0045, 0.3376, 0.0908, 0.3288, 0.2384"
software engineering body,0.22925937175750732,"0.0000, 0.0024, 0.9366, 0.0367, 0.0243"
intelligent agent paradigm,0.44428691267967224,"0.0222, 0.0097, 0.3170, 0.3680, 0.2832"
run time,0.047173112630844116,"0.9920, 0.0041, 0.0037, 0.0003, 0.0000"
systems engineering,0.42251595854759216,"0.0007, 0.1959, 0.4456, 0.2182, 0.1396"
ordered sets,0.2005349099636078,"0.0008, 0.0794, 0.7650, 0.1263, 0.0286"
user experience design,0.03789094090461731,"0.0122, 0.9407, 0.0126, 0.0249, 0.0097"
multi layer perceptron,0.11413830518722534,"0.3845, 0.0895, 0.4901, 0.0303, 0.0055"
computational fluid dynamics,0.17874789237976074,"0.0000, 0.9993, 0.0001, 0.0004, 0.0003"
ip address pool,0.16482305526733398,"0.0062, 0.0337, 0.8398, 0.0781, 0.0423"
combinatorial optimization problems,0.4971650540828705,"0.0001, 0.0012, 0.2224, 0.4828, 0.2935"
pseudorandom number generators,0.4722459316253662,"0.0000, 0.0058, 0.2190, 0.5165, 0.2586"
optimality problem,0.44331419467926025,"0.0005, 0.0934, 0.5296, 0.2426, 0.1339"
original data,0.13429024815559387,"0.7695, 0.0709, 0.0869, 0.0363, 0.0363"
moravec's paradox,0.43438562750816345,"0.0039, 0.4983, 0.1586, 0.1368, 0.2025"
multimedia communication,0.28008294105529785,"0.5556, 0.0412, 0.1730, 0.1203, 0.1099"
join trees,0.21182841062545776,"0.8768, 0.0079, 0.0597, 0.0280, 0.0276"
input sentence,0.11160537600517273,"0.0065, 0.5295, 0.3702, 0.0698, 0.0239"
priority queue,0.20359307527542114,"0.2313, 0.1633, 0.4086, 0.1392, 0.0576"
lazy learning systems,0.49284985661506653,"0.0116, 0.8586, 0.0098, 0.0617, 0.0583"
distance metric learning,0.21463194489479065,"0.0004, 0.4031, 0.5233, 0.0706, 0.0026"
object recognition  technical report icg,0.2845643162727356,"0.0000, 0.0018, 0.0125, 0.0089, 0.9767"
unreversed indexes,0.29057711362838745,"0.0127, 0.1309, 0.6538, 0.1594, 0.0433"
extensible text framework,0.26198330521583557,"0.5502, 0.2655, 0.0546, 0.0835, 0.0463"
data center,0.2851845324039459,"0.0133, 0.9590, 0.0185, 0.0056, 0.0036"
first order logic,0.4154052436351776,"0.0029, 0.0000, 0.0162, 0.8251, 0.1558"
